,Asynchrony,IOI,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,Unnamed: 0,Unnamed: 0.1,User ID
29,-1551.424,671.716,2018-07-21 22:38:19.503889,-861.3132608695653,2018-07-21 22:38:18.840106,3,-24.72900000000001,-151.357,-136.88549999999998,58.56860106926343,2018-07-21 22:38:19.016674,647.8857393124064,2018-07-21 22:38:17.616607,H1a2,2018-07-21 22:38:19.168031,29,18,114.0
30,-1461.708,671.4830000000002,2018-07-21 22:38:20.175488,-861.3132608695653,2018-07-21 22:38:19.503889,3,-20.777999999999988,-176.08599999999996,-136.88549999999998,58.56860106926343,2018-07-21 22:38:19.663661,647.8857393124064,2018-07-21 22:38:18.378039,H1a2,2018-07-21 22:38:19.839747,30,19,114.0
31,-1494.556,655.6469999999998,2018-07-21 22:38:20.839054,-861.3132608695653,2018-07-21 22:38:20.175488,3,32.28,-196.864,-136.88549999999998,58.56860106926343,2018-07-21 22:38:20.314366,647.8857393124064,2018-07-21 22:38:19.016674,H1a2,2018-07-21 22:38:20.511230,31,20,114.0
32,-1503.216,671.692,2018-07-21 22:38:21.502723,-861.3132608695653,2018-07-21 22:38:20.839054,3,24.17400000000001,-164.584,-136.88549999999998,58.56860106926343,2018-07-21 22:38:21.002293,647.8857393124064,2018-07-21 22:38:19.663661,H1a2,2018-07-21 22:38:21.166877,32,21,114.0
33,-1524.203,655.7389999999998,2018-07-21 22:38:22.166439,-861.3132608695653,2018-07-21 22:38:21.502723,3,,-140.41,-136.88549999999998,58.56860106926343,2018-07-21 22:38:21.698159,647.8857393124064,2018-07-21 22:38:20.314366,H1a2,2018-07-21 22:38:21.838569,33,22,114.0
34,-1492.015,671.6560000000002,2018-07-21 22:38:22.830136,-861.3132608695653,2018-07-21 22:38:22.166439,3,,,-136.88549999999998,58.56860106926343,,647.8857393124064,2018-07-21 22:38:21.002293,H1a2,2018-07-21 22:38:22.494308,34,23,114.0
35,-23.285,447.918,2018-07-21 22:32:51.873934,-108.21747058823532,2018-07-21 22:32:51.426168,0,-34.65300000000001,-23.285,-108.21747058823532,43.55233163589926,2018-07-21 22:32:51.626690,43.55233163589926,2018-07-21 22:32:51.626690,H1a3,2018-07-21 22:32:51.649975,35,1,114.0
36,-57.938,447.655,2018-07-21 22:32:52.321720,-108.21747058823532,2018-07-21 22:32:51.873934,0,-74.89699999999998,-57.938,-108.21747058823532,43.55233163589926,2018-07-21 22:32:52.039955,43.55233163589926,2018-07-21 22:32:52.039955,H1a3,2018-07-21 22:32:52.097893,36,2,114.0
37,-132.835,431.797,2018-07-21 22:32:52.761447,-108.21747058823532,2018-07-21 22:32:52.321720,0,2.0860000000000127,-132.835,-108.21747058823532,43.55233163589926,2018-07-21 22:32:52.412713,43.55233163589926,2018-07-21 22:32:52.412713,H1a3,2018-07-21 22:32:52.545548,37,3,114.0
38,-130.749,447.773,2018-07-21 22:32:53.201232,-108.21747058823532,2018-07-21 22:32:52.761447,0,19.143999999999988,-130.749,-108.21747058823532,43.55233163589926,2018-07-21 22:32:52.846596,43.55233163589926,2018-07-21 22:32:52.846596,H1a3,2018-07-21 22:32:52.977345,38,4,114.0
39,-111.605,447.763,2018-07-21 22:32:53.648999,-108.21747058823532,2018-07-21 22:32:53.201232,0,-9.67999999999999,-111.605,-108.21747058823532,43.55233163589926,2018-07-21 22:32:53.313513,43.55233163589926,2018-07-21 22:32:53.313513,H1a3,2018-07-21 22:32:53.425118,39,5,114.0
40,-121.285,447.816,2018-07-21 22:32:54.096789,-108.21747058823532,2018-07-21 22:32:53.648999,0,18.886,-121.285,-108.21747058823532,43.55233163589926,2018-07-21 22:32:53.751596,43.55233163589926,2018-07-21 22:32:53.751596,H1a3,2018-07-21 22:32:53.872881,40,6,114.0
41,-102.399,431.85,2018-07-21 22:32:54.536622,-108.21747058823532,2018-07-21 22:32:54.096789,0,2.1610000000000014,-102.399,-108.21747058823532,43.55233163589926,2018-07-21 22:32:54.218298,43.55233163589926,2018-07-21 22:32:54.218298,H1a3,2018-07-21 22:32:54.320697,41,7,114.0
42,-100.238,447.643,2018-07-21 22:32:54.976368,-108.21747058823532,2018-07-21 22:32:54.536622,0,88.647,-100.238,-108.21747058823532,43.55233163589926,2018-07-21 22:32:54.652309,43.55233163589926,2018-07-21 22:32:54.652309,H1a3,2018-07-21 22:32:54.752547,42,8,114.0
43,-11.591,447.914,2018-07-21 22:32:55.424147,-108.21747058823532,2018-07-21 22:32:54.976368,0,-108.166,-11.591,-108.21747058823532,43.55233163589926,2018-07-21 22:32:55.188599,43.55233163589926,2018-07-21 22:32:55.188599,H1a3,2018-07-21 22:32:55.200190,43,9,114.0
44,-119.757,447.804,2018-07-21 22:32:55.872006,-108.21747058823532,2018-07-21 22:32:55.424147,0,-22.119,-119.757,-108.21747058823532,43.55233163589926,2018-07-21 22:32:55.528347,43.55233163589926,2018-07-21 22:32:55.528347,H1a3,2018-07-21 22:32:55.648104,44,10,114.0
