,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
57,23,428.414,2018-07-21 23:05:15.101698,H1a3,2018-07-21 23:05:14.673284,119,447.785,2018-07-21 23:05:14.897177,2018-07-21 23:05:14.449351,2018-07-21 23:05:14.602108,-71.176,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,51.80500000000001
58,24,389.82599999999996,2018-07-21 23:05:15.510895,H1a3,2018-07-21 23:05:15.121069,119,431.838,2018-07-21 23:05:15.336988,2018-07-21 23:05:14.897177,2018-07-21 23:05:15.101698,-19.371,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,-22.641
59,25,416.666,2018-07-21 23:05:15.969573,H1a3,2018-07-21 23:05:15.552907,119,447.827,2018-07-21 23:05:15.776820,2018-07-21 23:05:15.336988,2018-07-21 23:05:15.510895,-42.012,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,10.851
60,26,394.48,2018-07-21 23:05:16.395214,H1a3,2018-07-21 23:05:16.000734,119,447.69300000000004,2018-07-21 23:05:16.224580,2018-07-21 23:05:15.776820,2018-07-21 23:05:15.969573,-31.160999999999998,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,-22.052
61,27,401.434,2018-07-21 23:05:16.849861,H1a3,2018-07-21 23:05:16.448427,119,447.814,2018-07-21 23:05:16.672334,2018-07-21 23:05:16.224580,2018-07-21 23:05:16.395214,-53.213,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,6.8329999999999975
62,28,440.733,2018-07-21 23:05:17.336974,H1a3,2018-07-21 23:05:16.896241,119,431.845,2018-07-21 23:05:17.112164,2018-07-21 23:05:16.672334,2018-07-21 23:05:16.849861,-46.38,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,55.268
63,29,463.37199999999996,2018-07-21 23:05:17.791458,H1a3,2018-07-21 23:05:17.328086,119,447.76099999999997,2018-07-21 23:05:17.551967,2018-07-21 23:05:17.112164,2018-07-21 23:05:17.336974,8.888,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,6.723000000000001
64,30,334.93300000000005,2018-07-21 23:05:18.110780,H1a3,2018-07-21 23:05:17.775847,119,447.81800000000004,2018-07-21 23:05:17.999756,2018-07-21 23:05:17.551967,2018-07-21 23:05:17.791458,15.610999999999999,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,-128.496
65,31,386.783,2018-07-21 23:05:18.610448,H1a3,2018-07-21 23:05:18.223665,119,447.69599999999997,2018-07-21 23:05:18.447513,2018-07-21 23:05:17.999756,2018-07-21 23:05:18.110780,-112.885,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,51.97200000000001
66,32,364.528,2018-07-21 23:05:19.035889,H1a3,2018-07-21 23:05:18.671361,119,431.665,2018-07-21 23:05:18.887194,2018-07-21 23:05:18.447513,2018-07-21 23:05:18.610448,-60.913000000000004,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,-6.224000000000004
