,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony
52,3040.105,2018-05-02 16:55:29.678253,H2a1,2018-05-02 16:55:26.638148,439,0 days 00:00:00.799482000,2018-05-02 16:55:27.037889000,2018-05-02 16:55:26.182304000,2018-05-02 16:55:26.795976,157.828
53,2969.336,2018-05-02 16:55:30.406966,H2a1,2018-05-02 16:55:27.437630,439,0 days 00:00:00.703539000,2018-05-02 16:55:27.789399500,2018-05-02 16:55:27.037889000,2018-05-02 16:55:27.639328,201.698
54,3109.427,2018-05-02 16:55:31.250596,H2a1,2018-05-02 16:55:28.141169,439,0 days 00:00:00.639598000,2018-05-02 16:55:28.460968000,2018-05-02 16:55:27.789399500,2018-05-02 16:55:28.286258,145.089
55,3505.457,2018-05-02 16:55:32.286224,H2a1,2018-05-02 16:55:28.780767,439,0 days 00:00:00.703821000,2018-05-02 16:55:29.132677500,2018-05-02 16:55:28.460968000,2018-05-02 16:55:28.875726,94.959
56,4009.488,2018-05-02 16:55:33.494076,H2a1,2018-05-02 16:55:29.484588,439,0 days 00:00:00.799583000,2018-05-02 16:55:29.884379500,2018-05-02 16:55:29.132677500,2018-05-02 16:55:29.678253,193.665
57,4507.548,2018-05-02 16:55:34.791719,H2a1,2018-05-02 16:55:30.284171,439,0 days 00:00:00.927376000,2018-05-02 16:55:30.747859000,2018-05-02 16:55:29.884379500,2018-05-02 16:55:30.406966,122.795
58,4546.586,2018-05-02 16:55:35.758133,H2a1,2018-05-02 16:55:31.211547,439,0 days 00:00:01.087512000,2018-05-02 16:55:31.755303000,2018-05-02 16:55:30.747859000,2018-05-02 16:55:31.250596,39.049
59,4253.206,2018-05-02 16:55:36.552265,H2a1,2018-05-02 16:55:32.299059,439,0 days 00:00:01.327219000,2018-05-02 16:55:32.962668500,2018-05-02 16:55:31.755303000,2018-05-02 16:55:32.286224,-12.835
60,3675.478,2018-05-02 16:55:37.301756,H2a1,2018-05-02 16:55:33.626278,439,0 days 00:00:01.087465000,2018-05-02 16:55:34.170010500,2018-05-02 16:55:32.962668500,2018-05-02 16:55:33.494076,-132.202
61,3771.037,2018-05-02 16:55:38.484780,H2a1,2018-05-02 16:55:34.713743,439,0 days 00:00:00.927621000,2018-05-02 16:55:35.177553500,2018-05-02 16:55:34.170010500,2018-05-02 16:55:34.791719,77.976
62,,,H2a1,2018-05-02 16:55:35.641364,439,0 days 00:00:00.799534000,2018-05-02 16:55:36.041131000,2018-05-02 16:55:35.177553500,2018-05-02 16:55:35.758133,116.769
63,,,H2a1,2018-05-02 16:55:36.440898,439,0 days 00:00:00.927465000,2018-05-02 16:55:36.904630500,2018-05-02 16:55:36.041131000,2018-05-02 16:55:36.552265,111.367
64,,,H2a1,2018-05-02 16:55:37.368363,439,0 days 00:00:01.087697000,2018-05-02 16:55:37.912211500,2018-05-02 16:55:36.904630500,2018-05-02 16:55:37.301756,-66.607
65,,,H2a1,2018-05-02 16:55:38.456060,439,0 days 00:00:01.327171000,2018-05-02 16:55:39.119645500,2018-05-02 16:55:37.912211500,2018-05-02 16:55:38.484780,28.72
66,,,H2a1,2018-05-02 16:55:39.783231,439,,,2018-05-02 16:55:39.119645500,,
