,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,Latency,Latency Corrected SA
365,12,-143.259,2018-07-16 14:12:34.244791,H2b1,2018-07-16 14:12:34.388050,805.0,1551.514,2018-07-16 14:12:35.163807,2018-07-16 14:12:33.780339,2018-07-16 14:12:34.244791,-143.259,-214.33,139.16950884508364,-155.63930769230768,219.50534369326283,1,-319.2050000000001,344.7808888888888,201.5218888888889
366,13,-462.464,2018-07-16 14:12:35.477100,H2b1,2018-07-16 14:12:35.939564,805.0,2095.1929999999998,2018-07-16 14:12:36.987161,2018-07-16 14:12:35.163807,2018-07-16 14:12:35.477100,-462.464,-214.33,139.16950884508364,-155.63930769230768,219.50534369326283,1,,465.5984444444445,3.134444444444512
367,1,-3.4010000000000002,2018-07-16 14:12:43.996650,H2b2,2018-07-16 14:12:44.000051,805.0,607.804,2018-07-16 14:12:44.303953,2018-07-16 14:12:43.672295,2018-07-16 14:12:43.996650,-3.4010000000000002,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,-79.60300000000002,135.06755555555554,131.6665555555555
368,2,-83.00399999999999,2018-07-16 14:12:44.524851,H2b2,2018-07-16 14:12:44.607855,805.0,591.789,2018-07-16 14:12:44.903749,2018-07-16 14:12:44.303953,2018-07-16 14:12:44.524851,-83.00399999999999,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,59.277,131.50866666666667,48.50466666666666
369,3,-23.726999999999997,2018-07-16 14:12:45.175917,H2b2,2018-07-16 14:12:45.199644,805.0,544.055,2018-07-16 14:12:45.471671,2018-07-16 14:12:44.903749,2018-07-16 14:12:45.175917,-23.726999999999997,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,24.848000000000003,120.90111111111109,97.17411111111109
370,4,1.121,2018-07-16 14:12:45.744820,H2b2,2018-07-16 14:12:45.743699,805.0,543.585,2018-07-16 14:12:46.015492,2018-07-16 14:12:45.471671,2018-07-16 14:12:45.744820,1.121,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,-11.433,120.79666666666668,121.91766666666668
371,5,-10.312000000000001,2018-07-16 14:12:46.276972,H2b2,2018-07-16 14:12:46.287284,805.0,495.836,2018-07-16 14:12:46.535202,2018-07-16 14:12:46.015492,2018-07-16 14:12:46.276972,-10.312000000000001,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,-24.996,110.1857777777778,99.8737777777778
372,6,-35.308,2018-07-16 14:12:46.747812,H2b2,2018-07-16 14:12:46.783120,805.0,495.789,2018-07-16 14:12:47.031014,2018-07-16 14:12:46.535202,2018-07-16 14:12:46.747812,-35.308,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,-0.16799999999999926,110.17533333333333,74.86733333333333
373,7,-35.476,2018-07-16 14:12:47.243433,H2b2,2018-07-16 14:12:47.278909,805.0,495.83099999999996,2018-07-16 14:12:47.526825,2018-07-16 14:12:47.031014,2018-07-16 14:12:47.243433,-35.476,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,-24.977000000000004,110.18466666666669,74.70866666666667
374,8,-60.453,2018-07-16 14:12:47.714287,H2b2,2018-07-16 14:12:47.774740,805.0,511.67199999999997,2018-07-16 14:12:48.030576,2018-07-16 14:12:47.526825,2018-07-16 14:12:47.714287,-60.453,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,-49.04599999999999,113.70488888888887,53.25188888888889
