,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,,
42,-413.736,07:13.9,A1a3,07:14.3,1779,441.18,07:14.5,07:14.1,07:14.3,39.027,36.17627907,36.6257997,-408.1594419,37.44631709,0,-17.708,32.6408463,6.3861537
43,-402.153,07:14.3,A1a3,07:14.7,1779,441.179,07:15.0,07:14.5,07:14.8,21.319,36.17627907,36.6257997,-408.1594419,37.44631709,0,22.783,32.6408463,-11.3218463
44,-419.86,07:14.8,A1a3,07:15.2,1779,441.179,07:15.4,07:15.0,07:15.2,44.102,36.17627907,36.6257997,-408.1594419,37.44631709,0,-23.336,32.6408463,11.4611537
45,-397.077,07:15.2,A1a3,07:15.6,1779,464.399,07:15.9,07:15.4,07:15.6,20.766,36.17627907,36.6257997,-408.1594419,37.44631709,0,-22.011,32.6408463,-11.8748463
46,-443.633,07:15.6,A1a3,07:16.1,1779,441.179,07:16.3,07:15.9,07:16.1,-1.245,36.17627907,36.6257997,-408.1594419,37.44631709,0,22.51,32.6408463,-33.8858463
47,-442.424,07:16.1,A1a3,07:16.5,1779,441.179,07:16.8,07:16.3,07:16.6,21.265,36.17627907,36.6257997,-408.1594419,37.44631709,0,0.126,32.6408463,-11.3758463
48,-419.914,07:16.6,A1a3,07:17.0,1779,441.179,07:17.2,07:16.8,07:17.0,21.391,36.17627907,36.6257997,-408.1594419,37.44631709,0,0.833,32.6408463,-11.2498463
49,-419.788,07:17.0,A1a3,07:17.4,1779,441.179,07:17.6,07:17.2,07:17.4,22.224,36.17627907,36.6257997,-408.1594419,37.44631709,0,12.089,32.6408463,-10.4168463
50,-418.955,07:17.4,A1a3,07:17.9,1779,441.18,07:18.1,07:17.6,07:17.9,34.313,36.17627907,36.6257997,-408.1594419,37.44631709,0,112.91,32.6408463,1.6721537
51,-406.867,07:17.9,A1a3,07:18.3,1779,441.179,07:18.5,07:18.1,07:18.4,147.223,36.17627907,36.6257997,-408.1594419,37.44631709,0,-102.851,32.6408463,114.5821537
52,-293.956,07:18.4,A1a3,07:18.7,1779,464.399,07:19.0,07:18.5,07:18.8,44.372,36.17627907,36.6257997,-408.1594419,37.44631709,0,-17.03,32.6408463,11.7311537
53,-420.027,07:18.8,A1a3,07:19.2,1779,441.179,07:19.4,07:19.0,07:19.2,27.342,36.17627907,36.6257997,-408.1594419,37.44631709,0,87.478,32.6408463,-5.2988463
54,-413.837,07:19.2,A1a3,07:19.6,1779,441.179,07:19.9,07:19.4,07:19.8,114.82,36.17627907,36.6257997,-408.1594419,37.44631709,0,-98.951,32.6408463,82.1791537
55,-326.359,07:19.8,A1a3,07:20.1,1779,441.179,07:20.3,07:19.9,07:20.1,15.869,36.17627907,36.6257997,-408.1594419,37.44631709,0,-0.987,32.6408463,-16.7718463
56,-425.31,07:20.1,A1a3,07:20.5,1779,441.179,07:20.7,07:20.3,07:20.5,14.882,36.17627907,36.6257997,-408.1594419,37.44631709,0,18.593,32.6408463,-17.7588463
57,-426.297,07:20.5,A1a3,07:21.0,1779,441.179,07:21.2,07:20.7,07:21.0,33.475,36.17627907,36.6257997,-408.1594419,37.44631709,0,10.756,32.6408463,0.8341537
58,-407.704,07:21.0,A1a3,07:21.4,1779,441.18,07:21.6,07:21.2,07:21.5,44.231,36.17627907,36.6257997,-408.1594419,37.44631709,0,-2.417,32.6408463,11.5901537
59,-396.949,07:21.5,A1a3,07:21.8,1779,464.399,07:22.1,07:21.6,07:21.9,41.814,36.17627907,36.6257997,-408.1594419,37.44631709,0,-26.084,32.6408463,9.1731537
60,-422.585,07:21.9,A1a3,07:22.3,1779,441.179,07:22.5,07:22.1,07:22.3,15.73,36.17627907,36.6257997,-408.1594419,37.44631709,0,7.881,32.6408463,-16.9108463
61,-425.449,07:22.3,A1a3,07:22.8,1779,441.179,07:23.0,07:22.5,07:22.8,23.611,36.17627907,36.6257997,-408.1594419,37.44631709,0,-0.228,32.6408463,-9.0298463
62,-417.568,07:22.8,A1a3,07:23.2,1779,441.179,07:23.4,07:23.0,07:23.2,23.383,36.17627907,36.6257997,-408.1594419,37.44631709,0,-1.351,32.6408463,-9.2578463
63,-417.796,07:23.2,A1a3,07:23.6,1779,441.179,07:23.9,07:23.4,07:23.7,22.032,36.17627907,36.6257997,-408.1594419,37.44631709,0,7.553,32.6408463,-10.6088463
64,-419.147,07:23.7,A1a3,07:24.1,1779,441.179,07:24.3,07:23.9,07:24.1,29.585,36.17627907,36.6257997,-408.1594419,37.44631709,0,9.417,32.6408463,-3.0558463
65,-411.594,07:24.1,A1a3,07:24.5,1779,441.18,07:24.7,07:24.3,07:24.6,39.002,36.17627907,36.6257997,-408.1594419,37.44631709,0,1.754,32.6408463,6.3611537
66,-402.178,07:24.6,A1a3,07:25.0,1779,464.399,07:25.2,07:24.7,07:25.0,40.756,36.17627907,36.6257997,-408.1594419,37.44631709,0,-13.566,32.6408463,8.1151537
67,-423.643,07:25.0,A1a3,07:25.4,1779,441.179,07:25.6,07:25.2,07:25.5,27.19,36.17627907,36.6257997,-408.1594419,37.44631709,0,-9.758,32.6408463,-5.4508463
68,-413.989,07:25.5,A1a3,07:25.9,1779,441.179,07:26.1,07:25.6,07:25.9,17.432,36.17627907,36.6257997,-408.1594419,37.44631709,0,9.753,32.6408463,-15.2088463
69,-423.747,07:25.9,A1a3,07:26.3,1779,441.179,07:26.5,07:26.1,07:26.3,27.185,36.17627907,36.6257997,-408.1594419,37.44631709,0,-3.744,32.6408463,-5.4558463
70,-413.994,07:26.3,A1a3,07:26.7,1779,441.179,07:27.0,07:26.5,07:26.8,23.441,36.17627907,36.6257997,-408.1594419,37.44631709,0,3.774,32.6408463,-9.1998463
71,-417.738,07:26.8,A1a3,07:27.2,1779,441.179,07:27.4,07:27.0,07:27.2,27.215,36.17627907,36.6257997,-408.1594419,37.44631709,0,-3.454,32.6408463,-5.4258463
72,-413.964,07:27.2,A1a3,07:27.6,1779,441.179,07:27.9,07:27.4,07:27.7,23.761,36.17627907,36.6257997,-408.1594419,37.44631709,0,11.22,32.6408463,-8.8798463
73,-417.418,07:27.7,A1a3,07:28.1,1779,464.4,07:28.3,07:27.9,07:28.1,34.981,36.17627907,36.6257997,-408.1594419,37.44631709,0,-7.874,32.6408463,2.3401537
74,-429.419,07:28.1,A1a3,07:28.5,1779,441.179,07:28.8,07:28.3,07:28.6,27.107,36.17627907,36.6257997,-408.1594419,37.44631709,0,1.581,32.6408463,-5.5338463
75,-414.072,07:28.6,A1a3,07:29.0,1779,441.179,07:29.2,07:28.8,07:29.0,28.688,36.17627907,36.6257997,-408.1594419,37.44631709,0,182.353,32.6408463,-3.9528463
76,-412.491,07:29.0,A1a3,07:29.4,1779,441.179,07:29.6,07:29.2,07:29.6,211.041,36.17627907,36.6257997,-408.1594419,37.44631709,0,-189.446,32.6408463,178.4001537
77,-230.138,07:29.6,A1a3,07:29.9,1779,441.179,07:30.1,07:29.6,07:29.9,21.595,36.17627907,36.6257997,-408.1594419,37.44631709,0,17.674,32.6408463,-11.0458463
78,-419.584,07:29.9,A1a3,07:30.3,1779,441.179,07:30.5,07:30.1,07:30.3,39.269,36.17627907,36.6257997,-408.1594419,37.44631709,0,-16.957,32.6408463,6.6281537
79,-401.91,07:30.3,A1a3,07:30.7,1779,441.179,07:31.0,07:30.5,07:30.8,22.312,36.17627907,36.6257997,-408.1594419,37.44631709,0,16.387,32.6408463,-10.3288463
80,-418.867,07:30.8,A1a3,07:31.2,1779,464.399,07:31.4,07:31.0,07:31.2,38.699,36.17627907,36.6257997,-408.1594419,37.44631709,0,-20.538,32.6408463,6.0581537
81,-425.7,07:31.2,A1a3,07:31.6,1779,441.18,07:31.9,07:31.4,07:31.7,18.161,36.17627907,36.6257997,-408.1594419,37.44631709,0,-6.409,32.6408463,-14.4798463
82,-423.019,07:31.7,A1a3,07:32.1,1779,441.179,07:32.3,07:31.9,07:32.1,11.752,36.17627907,36.6257997,-408.1594419,37.44631709,0,15.267,32.6408463,-20.8888463
83,-429.427,07:32.1,A1a3,07:32.5,1779,441.179,07:32.8,07:32.3,07:32.6,27.019,36.17627907,36.6257997,-408.1594419,37.44631709,0,,32.6408463,-5.6218463
84,-296.234,07:53.3,A1a4,07:53.6,1779,348.299,07:53.8,07:53.4,07:53.6,39.667,30.03617857,35.68290738,-292.3591897,39.71006094,2,-11.783,32.6408463,7.0261537
85,-308.632,07:53.6,A1a4,07:53.9,1779,325.079,07:54.1,07:53.8,07:54.0,27.884,30.03617857,35.68290738,-292.3591897,39.71006094,2,-12.267,32.6408463,-4.7568463
86,-297.195,07:54.0,A1a4,07:54.3,1779,325.08,07:54.4,07:54.1,07:54.3,15.617,30.03617857,35.68290738,-292.3591897,39.71006094,2,6.969,32.6408463,-17.0238463
87,-309.463,07:54.3,A1a4,07:54.6,1779,348.299,07:54.8,07:54.4,07:54.6,22.586,30.03617857,35.68290738,-292.3591897,39.71006094,2,-16.665,32.6408463,-10.0548463
88,-325.713,07:54.6,A1a4,07:54.9,1779,325.079,07:55.1,07:54.8,07:54.9,5.921,30.03617857,35.68290738,-292.3591897,39.71006094,2,34.916,32.6408463,-26.7198463
89,-319.158,07:54.9,A1a4,07:55.3,1779,325.08,07:55.4,07:55.1,07:55.3,40.837,30.03617857,35.68290738,-292.3591897,39.71006094,2,60.631,32.6408463,8.1961537
90,-284.243,07:55.3,A1a4,07:55.6,1779,348.299,07:55.8,07:55.4,07:55.7,101.468,30.03617857,35.68290738,-292.3591897,39.71006094,2,-76.494,32.6408463,68.8271537
91,-246.831,07:55.7,A1a4,07:55.9,1779,325.079,07:56.1,07:55.8,07:56.0,24.974,30.03617857,35.68290738,-292.3591897,39.71006094,2,28.944,32.6408463,-7.6668463
92,-300.105,07:56.0,A1a4,07:56.3,1779,348.3,07:56.4,07:56.1,07:56.3,53.918,30.03617857,35.68290738,-292.3591897,39.71006094,2,-41.916,32.6408463,21.2771537
93,-294.382,07:56.3,A1a4,07:56.6,1779,325.079,07:56.8,07:56.4,07:56.6,12.002,30.03617857,35.68290738,-292.3591897,39.71006094,2,11.137,32.6408463,-20.6388463
94,-313.077,07:56.6,A1a4,07:56.9,1779,325.08,07:57.1,07:56.8,07:57.0,23.139,30.03617857,35.68290738,-292.3591897,39.71006094,2,11.964,32.6408463,-9.5018463
95,-301.941,07:57.0,A1a4,07:57.3,1779,348.299,07:57.4,07:57.1,07:57.3,35.103,30.03617857,35.68290738,-292.3591897,39.71006094,2,-11.857,32.6408463,2.4621537
