,Asynchrony,IOI,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,Unnamed: 0,Unnamed: 0.1,User ID
122,-273.75,1327.365,2018-07-21 21:56:47.849793,-310.73245454545446,2018-07-21 21:56:46.514378,0,11.550000000000011,-273.75,-310.73245454545446,70.14800656948654,2018-07-21 21:56:46.912360,70.14800656948654,2018-07-21 21:56:46.912360,H1b1,2018-07-21 21:56:47.186110,122,9,131.0
123,-262.2,1327.326,2018-07-21 21:56:49.177138,-310.73245454545446,2018-07-21 21:56:47.849793,0,-9.153999999999996,-262.2,-310.73245454545446,70.14800656948654,2018-07-21 21:56:48.251275,70.14800656948654,2018-07-21 21:56:48.251275,H1b1,2018-07-21 21:56:48.513475,123,10,131.0
124,-271.35400000000004,1343.206,2018-07-21 21:56:50.512404,-310.73245454545446,2018-07-21 21:56:49.177138,0,,-271.35400000000004,-310.73245454545446,70.14800656948654,2018-07-21 21:56:49.569447,70.14800656948654,2018-07-21 21:56:49.569447,H1b1,2018-07-21 21:56:49.840801,124,11,131.0
125,30.386,655.587,2018-07-21 21:56:15.385863,-178.68290909090908,2018-07-21 21:56:14.722211,0,-184.71099999999998,30.386,-178.68290909090908,56.893709727550466,2018-07-21 21:56:15.088456,56.893709727550466,2018-07-21 21:56:15.088456,H1b2,2018-07-21 21:56:15.058070,125,1,131.0
126,-154.325,671.7819999999998,2018-07-21 21:56:16.049548,-178.68290909090908,2018-07-21 21:56:15.385863,0,-57.90600000000001,-154.325,-178.68290909090908,56.893709727550466,2018-07-21 21:56:15.559332,56.893709727550466,2018-07-21 21:56:15.559332,H1b2,2018-07-21 21:56:15.713657,126,2,131.0
127,-212.231,655.7189999999998,2018-07-21 21:56:16.713299,-178.68290909090908,2018-07-21 21:56:16.049548,0,-0.4039999999999964,-212.231,-178.68290909090908,56.893709727550466,2018-07-21 21:56:16.173208,56.893709727550466,2018-07-21 21:56:16.173208,H1b2,2018-07-21 21:56:16.385439,127,3,131.0
128,-212.635,671.687,2018-07-21 21:56:17.377002,-178.68290909090908,2018-07-21 21:56:16.713299,0,-12.63500000000002,-212.635,-178.68290909090908,56.893709727550466,2018-07-21 21:56:16.828523,56.893709727550466,2018-07-21 21:56:16.828523,H1b2,2018-07-21 21:56:17.041158,128,4,131.0
129,-225.27,671.596,2018-07-21 21:56:18.048643,-178.68290909090908,2018-07-21 21:56:17.377002,0,8.171999999999997,-225.27,-178.68290909090908,56.893709727550466,2018-07-21 21:56:17.487575,56.893709727550466,2018-07-21 21:56:17.487575,H1b2,2018-07-21 21:56:17.712845,129,5,131.0
130,-217.098,655.6619999999998,2018-07-21 21:56:18.712272,-178.68290909090908,2018-07-21 21:56:18.048643,0,-25.190999999999967,-217.098,-178.68290909090908,56.893709727550466,2018-07-21 21:56:18.167343,56.893709727550466,2018-07-21 21:56:18.167343,H1b2,2018-07-21 21:56:18.384441,130,6,131.0
131,-242.289,671.565,2018-07-21 21:56:19.375886,-178.68290909090908,2018-07-21 21:56:18.712272,0,36.698999999999984,-242.289,-178.68290909090908,56.893709727550466,2018-07-21 21:56:18.797814,56.893709727550466,2018-07-21 21:56:18.797814,H1b2,2018-07-21 21:56:19.040103,131,7,131.0
132,-205.59,671.69,2018-07-21 21:56:20.047513,-178.68290909090908,2018-07-21 21:56:19.375886,0,48.968999999999994,-205.59,-178.68290909090908,56.893709727550466,2018-07-21 21:56:19.506078,56.893709727550466,2018-07-21 21:56:19.506078,H1b2,2018-07-21 21:56:19.711668,132,8,131.0
133,-156.621,655.6569999999998,2018-07-21 21:56:20.711187,-178.68290909090908,2018-07-21 21:56:20.047513,0,-8.923000000000002,-156.621,-178.68290909090908,56.893709727550466,2018-07-21 21:56:20.226737,56.893709727550466,2018-07-21 21:56:20.226737,H1b2,2018-07-21 21:56:20.383358,133,9,131.0
134,-165.544,671.807,2018-07-21 21:56:21.374919,-178.68290909090908,2018-07-21 21:56:20.711187,0,-16.760999999999996,-165.544,-178.68290909090908,56.893709727550466,2018-07-21 21:56:20.873471,56.893709727550466,2018-07-21 21:56:20.873471,H1b2,2018-07-21 21:56:21.039015,134,10,131.0
135,-182.305,655.5110000000002,2018-07-21 21:56:22.038577,-178.68290909090908,2018-07-21 21:56:21.374919,0,-8.657999999999987,-182.305,-178.68290909090908,56.893709727550466,2018-07-21 21:56:21.528517,56.893709727550466,2018-07-21 21:56:21.528517,H1b2,2018-07-21 21:56:21.710822,135,11,131.0
136,-190.963,671.68,2018-07-21 21:56:22.702173,-178.68290909090908,2018-07-21 21:56:22.038577,0,-28.83600000000001,-190.963,-178.68290909090908,56.893709727550466,2018-07-21 21:56:22.175370,56.893709727550466,2018-07-21 21:56:22.175370,H1b2,2018-07-21 21:56:22.366333,136,12,131.0
137,-219.799,671.6010000000001,2018-07-21 21:56:23.373813,-178.68290909090908,2018-07-21 21:56:22.702173,0,12.163000000000013,-219.799,-178.68290909090908,56.893709727550466,2018-07-21 21:56:22.818214,56.893709727550466,2018-07-21 21:56:22.818214,H1b2,2018-07-21 21:56:23.038013,137,13,131.0
138,-207.636,655.887,2018-07-21 21:56:24.037557,-178.68290909090908,2018-07-21 21:56:23.373813,0,44.226000000000006,-207.636,-178.68290909090908,56.893709727550466,2018-07-21 21:56:23.501978,56.893709727550466,2018-07-21 21:56:23.501978,H1b2,2018-07-21 21:56:23.709614,138,14,131.0
139,-163.41,671.451,2018-07-21 21:56:24.701227,-178.68290909090908,2018-07-21 21:56:24.037557,0,-61.381,-163.41,-178.68290909090908,56.893709727550466,2018-07-21 21:56:24.202091,56.893709727550466,2018-07-21 21:56:24.202091,H1b2,2018-07-21 21:56:24.365501,139,15,131.0
140,-224.791,671.7639999999999,2018-07-21 21:56:25.372834,-178.68290909090908,2018-07-21 21:56:24.701227,0,85.60300000000002,-224.791,-178.68290909090908,56.893709727550466,2018-07-21 21:56:24.812161,56.893709727550466,2018-07-21 21:56:24.812161,H1b2,2018-07-21 21:56:25.036952,140,16,131.0
