,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
27,16,541.7819999999999,2018-07-20 23:06:08.347690,H1a2,2018-07-20 23:06:07.805908,129.0,671.875,2018-07-20 23:06:08.141846,2018-07-20 23:06:07.478383,,,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,
28,17,455.39300000000003,2018-07-20 23:06:08.933176,H1a2,2018-07-20 23:06:08.477783,129.0,671.883,2018-07-20 23:06:08.813725,2018-07-20 23:06:08.141846,2018-07-20 23:06:08.347690,-130.093,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,-86.39700000000002
29,18,475.461,2018-07-20 23:06:09.625127,H1a2,2018-07-20 23:06:09.149666,129.0,655.6189999999999,2018-07-20 23:06:09.477476,2018-07-20 23:06:08.813725,2018-07-20 23:06:08.933176,-216.49,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,36.33200000000002
30,19,503.5,2018-07-20 23:06:10.308785,H1a2,2018-07-20 23:06:09.805285,129.0,671.7460000000001,2018-07-20 23:06:10.141158,2018-07-20 23:06:09.477476,2018-07-20 23:06:09.625127,-180.158,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,11.911999999999976
31,20,466.39599999999996,2018-07-20 23:06:10.943427,H1a2,2018-07-20 23:06:10.477031,129.0,671.745,2018-07-20 23:06:10.812904,2018-07-20 23:06:10.141158,2018-07-20 23:06:10.308785,-168.24599999999998,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,-37.10299999999997
32,21,466.083,2018-07-20 23:06:11.614859,H1a2,2018-07-20 23:06:11.148776,129.0,655.972,2018-07-20 23:06:11.476762,2018-07-20 23:06:10.812904,2018-07-20 23:06:10.943427,-205.34900000000002,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,15.459999999999981
33,22,481.409,2018-07-20 23:06:12.286157,H1a2,2018-07-20 23:06:11.804748,129.0,671.553,2018-07-20 23:06:12.140524,2018-07-20 23:06:11.476762,2018-07-20 23:06:11.614859,-189.889,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,-0.25499999999999545
34,23,444.551,2018-07-20 23:06:12.920852,H1a2,2018-07-20 23:06:12.476301,129.0,655.828,2018-07-20 23:06:12.804215,2018-07-20 23:06:12.140524,2018-07-20 23:06:12.286157,-190.144,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,
35,1,815.612,2018-07-20 23:00:43.927163,H1a3,2018-07-20 23:00:43.111551,129.0,446.11800000000005,2018-07-20 23:00:43.334610,2018-07-20 23:00:42.886828,,,-91.34457575757574,66.4027963417347,801.7678484848483,77.32303474309947,1,
36,2,807.591,2018-07-20 23:00:44.365260,H1a3,2018-07-20 23:00:43.557669,129.0,447.866,2018-07-20 23:00:43.781602,2018-07-20 23:00:43.334610,2018-07-20 23:00:43.521977,-35.692,-91.34457575757574,66.4027963417347,801.7678484848483,77.32303474309947,1,-42.68
37,3,756.806,2018-07-20 23:00:44.762341,H1a3,2018-07-20 23:00:44.005535,129.0,431.79900000000004,2018-07-20 23:00:44.221434,2018-07-20 23:00:43.781602,2018-07-20 23:00:43.927163,-78.372,-91.34457575757574,66.4027963417347,801.7678484848483,77.32303474309947,1,6.298000000000003
38,4,767.168,2018-07-20 23:00:45.204502,H1a3,2018-07-20 23:00:44.437334,129.0,447.806,2018-07-20 23:00:44.661237,2018-07-20 23:00:44.221434,2018-07-20 23:00:44.365260,-72.074,-91.34457575757574,66.4027963417347,801.7678484848483,77.32303474309947,1,-50.72500000000001
39,5,753.25,2018-07-20 23:00:45.638390,H1a3,2018-07-20 23:00:44.885140,129.0,447.925,2018-07-20 23:00:45.109103,2018-07-20 23:00:44.661237,2018-07-20 23:00:44.762341,-122.79899999999999,-91.34457575757574,66.4027963417347,801.7678484848483,77.32303474309947,1,-5.7639999999999825
40,6,772.1289999999999,2018-07-20 23:00:46.105194,H1a3,2018-07-20 23:00:45.333065,129.0,447.76099999999997,2018-07-20 23:00:45.556946,2018-07-20 23:00:45.109103,2018-07-20 23:00:45.204502,-128.563,-91.34457575757574,66.4027963417347,801.7678484848483,77.32303474309947,1,-13.873000000000019
41,7,783.056,2018-07-20 23:00:46.563882,H1a3,2018-07-20 23:00:45.780826,129.0,431.756,2018-07-20 23:00:45.996704,2018-07-20 23:00:45.556946,2018-07-20 23:00:45.638390,-142.436,-91.34457575757574,66.4027963417347,801.7678484848483,77.32303474309947,1,35.048
42,8,793.25,2018-07-20 23:00:47.005832,H1a3,2018-07-20 23:00:46.212582,129.0,447.83099999999996,2018-07-20 23:00:46.436498,2018-07-20 23:00:45.996704,2018-07-20 23:00:46.105194,-107.38799999999999,-91.34457575757574,66.4027963417347,801.7678484848483,77.32303474309947,1,10.857000000000001
43,9,767.1439999999999,2018-07-20 23:00:47.427557,H1a3,2018-07-20 23:00:46.660413,129.0,447.88,2018-07-20 23:00:46.884353,2018-07-20 23:00:46.436498,2018-07-20 23:00:46.563882,-96.531,-91.34457575757574,66.4027963417347,801.7678484848483,77.32303474309947,1,-5.929999999999992
44,10,720.45,2018-07-20 23:00:47.828743,H1a3,2018-07-20 23:00:47.108293,129.0,447.741,2018-07-20 23:00:47.332163,2018-07-20 23:00:46.884353,2018-07-20 23:00:47.005832,-102.461,-91.34457575757574,66.4027963417347,801.7678484848483,77.32303474309947,1,-26.016000000000005
45,11,780.467,2018-07-20 23:00:48.336501,H1a3,2018-07-20 23:00:47.556034,129.0,431.73900000000003,2018-07-20 23:00:47.771903,2018-07-20 23:00:47.332163,2018-07-20 23:00:47.427557,-128.477,-91.34457575757574,66.4027963417347,801.7678484848483,77.32303474309947,1,-30.553
46,12,790.8860000000001,2018-07-20 23:00:48.778659,H1a3,2018-07-20 23:00:47.987773,129.0,447.856,2018-07-20 23:00:48.211701,2018-07-20 23:00:47.771903,2018-07-20 23:00:47.828743,-159.03,-91.34457575757574,66.4027963417347,801.7678484848483,77.32303474309947,1,59.902
47,13,789.248,2018-07-20 23:00:49.224877,H1a3,2018-07-20 23:00:48.435629,129.0,447.858,2018-07-20 23:00:48.659558,2018-07-20 23:00:48.211701,2018-07-20 23:00:48.336501,-99.12799999999999,-91.34457575757574,66.4027963417347,801.7678484848483,77.32303474309947,1,-5.700000000000002
48,14,808.408,2018-07-20 23:00:49.691895,H1a3,2018-07-20 23:00:48.883487,129.0,447.875,2018-07-20 23:00:49.107425,2018-07-20 23:00:48.659558,2018-07-20 23:00:48.778659,-104.82799999999999,-91.34457575757574,66.4027963417347,801.7678484848483,77.32303474309947,1,-1.6569999999999965
