,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony
38,-538.771,2018-05-02 18:14:52.905991000,H2a4,2018-05-02 18:14:53.444762000,510.0,0 days 00:00:00.320166000,2018-05-02 18:14:53.604845000,2018-05-02 18:14:53.292881500,2018-05-02 18:14:53.511999000,67.237,38.950583333333334
39,-576.527,2018-05-02 18:14:53.188401000,H2a4,2018-05-02 18:14:53.764928000,510.0,0 days 00:00:00.319680000,2018-05-02 18:14:53.924768000,2018-05-02 18:14:53.604845000,2018-05-02 18:14:53.765782000,0.854,38.950583333333334
40,-572.609,2018-05-02 18:14:53.511999000,H2a4,2018-05-02 18:14:54.084608000,510.0,0 days 00:00:00.319943000,2018-05-02 18:14:54.244579500,2018-05-02 18:14:53.924768000,2018-05-02 18:14:54.109985000,25.377,38.950583333333334
41,-638.769,2018-05-02 18:14:53.765782000,H2a4,2018-05-02 18:14:54.404551000,510.0,0 days 00:00:00.319654000,2018-05-02 18:14:54.564378000,2018-05-02 18:14:54.244579500,2018-05-02 18:14:54.408578000,4.027,38.950583333333334
42,-614.22,2018-05-02 18:14:54.109985000,H2a4,2018-05-02 18:14:54.724205000,510.0,0 days 00:00:00.320158000,2018-05-02 18:14:54.884284000,2018-05-02 18:14:54.564378000,2018-05-02 18:14:54.744400000,20.195,38.950583333333334
43,-635.785,2018-05-02 18:14:54.408578000,H2a4,2018-05-02 18:14:55.044363000,510.0,0 days 00:00:00.319524000,2018-05-02 18:14:55.204125000,2018-05-02 18:14:54.884284000,2018-05-02 18:14:55.063586000,19.223,38.950583333333334
44,-619.487,2018-05-02 18:14:54.744400000,H2a4,2018-05-02 18:14:55.363887000,510.0,0 days 00:00:00.335682000,2018-05-02 18:14:55.531728000,2018-05-02 18:14:55.204125000,2018-05-02 18:14:55.420041000,56.154,38.950583333333334
45,-635.983,2018-05-02 18:14:55.063586000,H2a4,2018-05-02 18:14:55.699569000,510.0,0 days 00:00:00.320019000,2018-05-02 18:14:55.859578500,2018-05-02 18:14:55.531728000,2018-05-02 18:14:55.743340000,43.771,38.950583333333334
46,-599.547,2018-05-02 18:14:55.420041000,H2a4,2018-05-02 18:14:56.019588000,510.0,0 days 00:00:00.335597000,2018-05-02 18:14:56.187386500,2018-05-02 18:14:55.859578500,2018-05-02 18:14:56.078822000,59.234,38.950583333333334
47,-611.845,2018-05-02 18:14:55.743340000,H2a4,2018-05-02 18:14:56.355185000,510.0,0 days 00:00:00.320081000,2018-05-02 18:14:56.515225500,2018-05-02 18:14:56.187386500,2018-05-02 18:14:56.377713000,22.528,38.950583333333334
48,-596.444,2018-05-02 18:14:56.078822000,H2a4,2018-05-02 18:14:56.675266000,510.0,0 days 00:00:03.038261000,2018-05-02 18:14:58.194396500,2018-05-02 18:14:56.515225500,2018-05-02 18:14:56.725948000,50.682,38.950583333333334
49,-3335.814,2018-05-02 18:14:56.377713000,H2a1,2018-05-02 18:14:59.713527000,510.0,0 days 00:00:01.343353000,2018-05-02 18:15:00.385203500,2018-05-02 18:14:58.194396500,2018-05-02 18:14:59.923382000,209.855,49.16523529411763
50,-4330.932,2018-05-02 18:14:56.725948000,H2a1,2018-05-02 18:15:01.056880000,510.0,0 days 00:00:01.087129000,2018-05-02 18:15:01.600444500,2018-05-02 18:15:00.385203500,2018-05-02 18:15:01.229514000,172.634,49.16523529411763
51,-2220.627,2018-05-02 18:14:59.923382000,H2a1,2018-05-02 18:15:02.144009000,510.0,0 days 00:00:00.927739000,2018-05-02 18:15:02.607878500,2018-05-02 18:15:01.600444500,2018-05-02 18:15:02.367857000,223.848,49.16523529411763
52,-3070.74,2018-05-02 18:15:00.001008000,H2a1,2018-05-02 18:15:03.071748000,510.0,0 days 00:00:00.799572000,2018-05-02 18:15:03.471534000,2018-05-02 18:15:02.607878500,2018-05-02 18:15:03.222965000,151.217,49.16523529411763
53,-2641.806,2018-05-02 18:15:01.229514000,H2a1,2018-05-02 18:15:03.871320000,510.0,0 days 00:00:00.703564000,2018-05-02 18:15:04.223102000,2018-05-02 18:15:03.471534000,2018-05-02 18:15:03.857729000,-13.591,49.16523529411763
54,-2207.027,2018-05-02 18:15:02.367857000,H2a1,2018-05-02 18:15:04.574884000,510.0,0 days 00:00:00.623930000,2018-05-02 18:15:04.886849000,2018-05-02 18:15:04.223102000,2018-05-02 18:15:04.676681000,101.797,49.16523529411763
55,-1975.849,2018-05-02 18:15:03.222965000,H2a1,2018-05-02 18:15:05.198814000,510.0,0 days 00:00:00.703390000,2018-05-02 18:15:05.550509000,2018-05-02 18:15:04.886849000,2018-05-02 18:15:05.376702000,177.888,49.16523529411763
