,A,B,T-Stat,p-value
60,H1a4,H2b1,14.307392927383992,2.9052126795946915e-33
61,H1a4,H2b2,11.293446965719104,4.239947693694611e-27
62,H1a4,H2b3,0.8810359875184302,0.3785227228209985
63,H1a4,H2b4,0.9939297697604003,0.3204296080118524
64,H1b1,H1a1,2.008305370542741,0.04535584464671817
65,H1b1,H1a2,-13.797502314024143,1.9585756298271732e-32
66,H1b1,H1a3,-22.636560936975837,1.050368662210058e-58
67,H1b1,H1a4,-27.300152111213077,6.048922909195075e-70
68,H1b1,H1b1,0.0,1.0
69,H1b1,H1b2,-15.804299983950656,1.979602164270503e-42
70,H1b1,H1b3,-21.070319161468042,8.978502036185862e-56
71,H1b1,H1b4,-26.387145880729932,4.835650775324591e-71
72,H1b1,H2a1,-8.679660732897302,8.32008797691768e-17
73,H1b1,H2a2,-18.410554520729008,2.5862836438859693e-47
74,H1b1,H2a3,-24.959109710759986,5.763520827168888e-65
75,H1b1,H2a4,-27.325584253656057,2.289295737956236e-70
76,H1b1,H2b1,-2.0730921065217145,0.038912481909316364
77,H1b1,H2b2,-19.237082932626304,1.5982487487243863e-53
78,H1b1,H2b3,-25.81202218868162,4.311328065298337e-71
79,H1b1,H2b4,-26.927338022868934,2.9679953911548475e-69
80,H1b2,H1a1,19.973380945846795,2.4208558343613763e-61
81,H1b2,H1a2,5.1185074685627665,4.156626670978358e-07
82,H1b2,H1a3,-6.872244692616228,1.8956852785781364e-11
83,H1b2,H1a4,-13.702329944939287,5.7652158644581136e-36
84,H1b2,H1b1,15.804299983950656,1.979602164270503e-42
85,H1b2,H1b2,0.0,1.0
86,H1b2,H1b3,-4.967738764634789,8.950575101940308e-07
87,H1b2,H1b4,-12.640042292583399,2.3051049959645887e-32
88,H1b2,H2a1,5.806664940321159,1.1540822734173657e-08
89,H1b2,H2a2,-1.1218682901348485,0.26238531393124526
90,H1b2,H2a3,-10.294551012410986,1.2596368399920983e-22
91,H1b2,H2a4,-13.767364952514239,2.2892379200550728e-36
92,H1b2,H2b1,8.275214274260653,5.5724494831769994e-15
93,H1b2,H2b2,-3.546374665685542,0.0004153868308181957
94,H1b2,H2b3,-11.973012318440974,8.304910643637137e-30
95,H1b2,H2b4,-13.158233790096945,9.051790488789038e-34
96,H1b3,H1a1,26.85876616846173,1.0733330825404399e-75
97,H1b3,H1a2,13.925548674177211,2.147115537184192e-39
98,H1b3,H1a3,-2.573469382947173,0.010214509753135238
99,H1b3,H1a4,-13.400392890887069,1.7944087249329365e-37
100,H1b3,H1b1,21.070319161468042,8.978502036185862e-56
101,H1b3,H1b2,4.967738764634789,8.950575101940308e-07
102,H1b3,H1b3,0.0,1.0
103,H1b3,H1b4,-11.22473782889701,1.0377467681303246e-27
104,H1b3,H2a1,10.06714694444862,4.70928881092833e-21
105,H1b3,H2a2,5.559386423481879,3.470752721970387e-08
106,H1b3,H2a3,-7.8535057670043775,1.03312807230549e-14
107,H1b3,H2a4,-13.428503137586,9.507517204093024e-38
108,H1b3,H2b1,10.798950886735515,2.781360626695025e-22
109,H1b3,H2b2,1.1442822717550576,0.2528363082435968
110,H1b3,H2b3,-10.118666192179756,4.746369897282319e-23
111,H1b3,H2b4,-12.476365292020574,3.785597944693916e-33
112,H1b4,H1a1,32.99564948067969,8.400477205183796e-92
113,H1b4,H1a2,24.705512472476308,6.884659599956222e-99
114,H1b4,H1a3,9.837160769052371,6.316397617966513e-22
115,H1b4,H1a4,-0.4276655930991912,0.6689838813614872
116,H1b4,H1b1,26.387145880729932,4.835650775324591e-71
117,H1b4,H1b2,12.640042292583399,2.3051049959645887e-32
118,H1b4,H1b3,11.22473782889701,1.0377467681303246e-27
119,H1b4,H1b4,0.0,1.0
120,H1b4,H2a1,15.507934063262583,2.994431537488918e-41
121,H1b4,H2a2,16.880686076701803,1.0558540162447209e-56
122,H1b4,H2a3,4.583195380129526,5.08851875194763e-06
123,H1b4,H2a4,-0.6670904106066082,0.5048570793814406
124,H1b4,H2b1,14.054406114634888,8.789285977396635e-33
125,H1b4,H2b2,10.072029072527261,1.4492593707792306e-22
126,H1b4,H2b3,0.42852177396195207,0.6683540695340162
127,H1b4,H2b4,0.37417439292147836,0.7083489834552165
128,H2a1,H1a1,11.383601143532468,1.4625121324770018e-26
129,H2a1,H1a2,-2.721966954239834,0.006803533353343357
130,H2a1,H1a3,-11.458822313760429,1.208873334210603e-25
131,H2a1,H1a4,-16.15402965744961,1.2846487631759443e-42
132,H2a1,H1b1,8.679660732897302,8.32008797691768e-17
133,H2a1,H1b2,-5.806664940321159,1.1540822734173657e-08
134,H2a1,H1b3,-10.06714694444862,4.70928881092833e-21
135,H2a1,H1b4,-15.507934063262583,2.994431537488918e-41
136,H2a1,H2a1,0.0,1.0
137,H2a1,H2a2,-7.325430618576168,1.7081241705192472e-12
138,H2a1,H2a3,-13.83402984171679,2.961505911748592e-34
139,H2a1,H2a4,-16.209778717431977,5.9949327610448e-43
140,H2a1,H2b1,4.180581034127425,3.685183048390573e-05
141,H2a1,H2b2,-8.801496763841714,3.4641342702298565e-17
142,H2a1,H2b3,-15.063611692376922,5.698701987028915e-40
143,H2a1,H2b4,-15.789126740828856,2.4763343360548434e-41
144,H2a2,H1a1,23.81656558113374,2.0082379809060463e-66
145,H2a2,H1a2,8.672696472097869,2.583071531902733e-17
146,H2a2,H1a3,-8.702419827238419,1.406228334611874e-17
147,H2a2,H1a4,-19.908186447534572,5.6007331612343195e-73
148,H2a2,H1b1,18.410554520729008,2.5862836438859693e-47
149,H2a2,H1b2,1.1218682901348485,0.26238531393124526
150,H2a2,H1b3,-5.559386423481879,3.470752721970387e-08
151,H2a2,H1b4,-16.880686076701803,1.0558540162447209e-56
152,H2a2,H2a1,7.325430618576168,1.7081241705192472e-12
153,H2a2,H2a2,0.0,1.0
154,H2a2,H2a3,-14.048423555222998,5.749378920498395e-41
155,H2a2,H2a4,-19.837325840200126,4.387894948338201e-73
156,H2a2,H2b1,9.145841254402974,3.10441690111914e-17
157,H2a2,H2b2,-3.3237699250081896,0.0009269534742519706
158,H2a2,H2b3,-15.43946379896353,1.1739836656201781e-48
159,H2a2,H2b4,-18.91585458635521,1.8364452987793215e-67
160,H2a3,H1a1,31.59153337725422,3.2197068695270767e-84
161,H2a3,H1a2,22.609833768821147,1.698634244940507e-83
162,H2a3,H1a3,5.975699692254862,3.048593758899633e-09
163,H2a3,H1a4,-6.06938373499277,1.687573729557125e-09
164,H2a3,H1b1,24.959109710759986,5.763520827168888e-65
165,H2a3,H1b2,10.294551012410986,1.2596368399920983e-22
166,H2a3,H1b3,7.8535057670043775,1.03312807230549e-14
167,H2a3,H1b4,-4.583195380129526,5.08851875194763e-06
168,H2a3,H2a1,13.83402984171679,2.961505911748592e-34
169,H2a3,H2a2,14.048423555222998,5.749378920498395e-41
170,H2a3,H2a3,0.0,1.0
171,H2a3,H2a4,-6.217104795109296,6.757854638798419e-10
172,H2a3,H2b1,12.979117183612152,4.467811801109065e-29
173,H2a3,H2b2,7.2472583670511765,1.1122616648692092e-12
174,H2a3,H2b3,-3.7657549978171443,0.00017527331235849425
175,H2a3,H2b4,-5.059701671033527,4.791359034645657e-07
176,H2a4,H1a1,34.41024375241122,2.7876738206384706e-89
177,H2a4,H1a2,28.17943792726478,1.2578233337243445e-110
178,H2a4,H1a3,12.371285193614147,4.510511671489942e-33
179,H2a4,H1a4,0.3071085828717181,0.7588061583913474
180,H2a4,H1b1,27.325584253656057,2.289295737956236e-70
181,H2a4,H1b2,13.767364952514239,2.2892379200550728e-36
182,H2a4,H1b3,13.428503137586,9.507517204093024e-38
183,H2a4,H1b4,0.6670904106066082,0.5048570793814406
184,H2a4,H2a1,16.209778717431977,5.9949327610448e-43
185,H2a4,H2a2,19.837325840200126,4.387894948338201e-73
186,H2a4,H2a3,6.217104795109296,6.757854638798419e-10
187,H2a4,H2a4,0.0,1.0
188,H2a4,H2b1,14.353491827465524,1.9039802669956215e-33
189,H2a4,H2b2,11.372509139215438,1.7006373717124684e-27
190,H2a4,H2b3,1.0947240862171808,0.2739054183354224
191,H2a4,H2b4,1.270088812645945,0.20425846814763116
192,H2b1,H1a1,3.565213545825682,0.00041991041321931506
193,H2b1,H1a2,-6.354733457176075,1.0583695472660295e-09
194,H2b1,H1a3,-11.578240753244891,1.3024835619410553e-24
195,H2b1,H1a4,-14.307392927383992,2.9052126795946915e-33
196,H2b1,H1b1,2.0730921065217145,0.038912481909316364
197,H2b1,H1b2,-8.275214274260653,5.5724494831769994e-15
198,H2b1,H1b3,-10.798950886735515,2.781360626695025e-22
199,H2b1,H1b4,-14.054406114634888,8.789285977396635e-33
200,H2b1,H2a1,-4.180581034127425,3.685183048390573e-05
201,H2b1,H2a2,-9.145841254402974,3.10441690111914e-17
202,H2b1,H2a3,-12.979117183612152,4.467811801109065e-29
203,H2b1,H2a4,-14.353491827465524,1.9039802669956215e-33
204,H2b1,H2b1,0.0,1.0
205,H2b1,H2b2,-10.134946868963242,1.7290479934246985e-20
206,H2b1,H2b3,-13.849233446657216,2.83751535935709e-32
207,H2b1,H2b4,-14.101910833348501,1.2674825468963935e-32
208,H2b2,H1a1,24.211748085105736,1.074708305275637e-74
209,H2b2,H1a2,10.335308616410927,1.4377588994815886e-23
210,H2b2,H1a3,-3.2031526707956592,0.0014191005716444641
211,H2b2,H1a4,-11.293446965719104,4.239947693694611e-27
212,H2b2,H1b1,19.237082932626304,1.5982487487243863e-53
213,H2b2,H1b2,3.546374665685542,0.0004153868308181957
214,H2b2,H1b3,-1.1442822717550576,0.2528363082435968
215,H2b2,H1b4,-10.072029072527261,1.4492593707792306e-22
216,H2b2,H2a1,8.801496763841714,3.4641342702298565e-17
217,H2b2,H2a2,3.3237699250081896,0.0009269534742519706
218,H2b2,H2a3,-7.2472583670511765,1.1122616648692092e-12
219,H2b2,H2a4,-11.372509139215438,1.7006373717124684e-27
220,H2b2,H2b1,10.134946868963242,1.7290479934246985e-20
221,H2b2,H2b2,0.0,1.0
