,T-Stat,p-value,x
260,12.282471877358896,7.873705123630302e-27,A2a3H2b1
92,12.284048646594709,1.0944467849821372e-26,A1a4H2b1
400,-11.383601143532468,1.4625121324770018e-26,H1a1H2a1
44,12.050102126351398,2.718541944830993e-26,A1a2H2b1
448,11.458822313760429,1.208873334210603e-25,H1a3H2a1
68,11.913603522651103,1.226703416749428e-25,A1a3H2b1
511,-11.041142762266782,1.8397002884129313e-25,H1b2A3b4
452,11.578240753244891,1.3024835619410553e-24,H1a3H2b1
95,-10.383107320262694,2.185830095145669e-24,A1a4H2b4
71,-10.29605040598521,5.8261573469795026e-24,A1a3H2b4
429,-10.335308616410927,1.4377588994815886e-23,H1a2H2b2
212,10.801257014193471,2.5818853298984282e-23,A2a1H2b1
19,-11.171594002413247,2.9657680442847924e-23,A1a1H2a4
550,-10.118666192179756,4.746369897282319e-23,H1b3H2b3
65,10.137170347410688,5.332703982353168e-23,A1a3H2a2
507,-10.3240530371004,1.182290890218968e-22,H1b2A3a4
522,-10.294551012410986,1.2596368399920983e-22,H1b2H2a3
573,10.072029072527261,1.4492593707792306e-22,H1b4H2b2
116,10.470617028699426,2.2249861299833183e-22,A1b1H2b1
548,10.798950886735515,2.781360626695025e-22,H1b3H2b1
23,-10.565728171522872,2.3458448108956956e-21,A1a1H2b4
41,9.729363370438065,2.6595810537070686e-21,A1a2H2a2
544,10.06714694444862,4.70928881092833e-21,H1b3H2a1
515,-9.702451001900998,1.580395134883823e-20,H1b2A4a4
259,-9.487456072054284,2.9304996311341044e-20,A2a3H2a4
208,9.4904110432477,8.046530474789866e-20,A2a1H2a1
305,9.399805562829101,1.971732379663114e-19,A2b1H2a2
519,-9.333951903315103,2.6661795194091103e-19,H1b2A4b4
22,-9.616791861775594,2.990734560978714e-19,A1a1H2b3
413,-9.457524326239962,9.056756141986826e-19,H1a2A3b2
535,-8.989224245042188,1.5275574913039211e-18,H1b3A3b4
112,8.92965111538232,5.808456731826746e-18,A1b1H2a1
20,9.19923116806812,9.623242893206419e-18,A1a1H2b1
449,8.702419827238419,1.406228334611874e-17,H1a3H2a2
506,-8.787257331280202,1.64954045108162e-17,H1b2A3a3
454,-8.646125380846653,2.0200133516230415e-17,H1a3H2b3
425,-8.672696472097869,2.583071531902733e-17,H1a2H2a2
496,-8.679660732897302,8.32008797691768e-17,H1b1H2a1
514,-8.518534264499003,1.4284615271644955e-16,H1b2A4a3
518,-8.518428575742695,1.7083621092641234e-16,H1b2A4b3
263,-8.3455236803104,3.3867287838459836e-16,A2a3H2b4
43,-8.3410572471956,3.6761258650744737e-16,A1a2H2a4
7,-8.534678838321037,1.698247356131327e-15,A1a1A3b4
524,8.275214274260653,5.5724494831769994e-15,H1b2H2b1
531,-7.931425667849528,6.3699571713544746e-15,H1b3A3a4
470,7.954801146014445,9.061217216991988e-15,H1a4A4b3
546,-7.8535057670043775,1.03312807230549e-14,H1b3H2a3
510,-7.8521370474687435,1.9809527198398565e-14,H1b2A3b3
70,-7.739205338190802,2.3963355553510964e-14,A1a3H2b3
141,7.561407818828962,1.1301290125619445e-13,A1b2H2b2
462,7.552477972249872,1.850142914730323e-13,H1a4A3b3
18,-7.7835614087366345,2.252595199323779e-13,A1a1H2a3
3,-7.786754306941357,2.4881157376296596e-13,A1a1A3a4
379,-7.437617540019358,3.4564040811171927e-13,A2b4H2a4
189,7.402014952032396,3.9456959181179316e-13,A1b4H2b2
47,-7.379272305419816,4.4021415255504057e-13,A1a2H2b4
384,-7.682636651918384,4.4663828731098436e-13,H1a1A3a1
439,-7.281243799271645,7.431101738215213e-13,H1a3A3b4
165,7.280857918391981,8.741915253671187e-13,A1b3H2b2
94,-7.248561275812561,9.58009103079639e-13,A1a4H2b3
16,7.226499197217367,2.292917788888545e-12,A1a1H2a1
285,7.078902974368533,3.6165309375304137e-12,A2a4H2b2
11,-7.247507852051164,5.3711225826410495e-12,A1a1A4a4
355,-6.991008599969068,6.932074802743838e-12,A2b3H2a4
539,-6.908047926650704,1.0017830132891421e-11,H1b3A4a4
15,-6.940747005990455,2.946729260013475e-11,A1a1A4b4
457,6.979032890109735,3.694153974945378e-11,H1a4A3a2
235,-6.705226623880069,4.308998213311406e-11,A2a2H2a4
416,-6.807437115741805,4.6632251654354076e-11,H1a2A4a1
466,6.583760107939636,1.1222135774574105e-10,H1a4A4a3
388,-6.744426180416373,1.2186076090314077e-10,H1a1A3b1
513,-6.538388573367171,1.2476200832482459e-10,H1b2A4a2
331,-6.547726174600454,1.252863919213899e-10,A2b2H2a4
459,6.4646463008785835,1.5419499252493704e-10,H1a4A3a4
517,-6.490848214994959,1.6795285214393368e-10,H1b2A4b2
480,-6.632439234335379,2.1221675573889763e-10,H1b1A3a1
566,6.403161620017209,2.604438578936754e-10,H1b4A4b3
553,6.597378458835742,2.649185521659415e-10,H1b4A3a2
467,6.3896051766638635,3.1855430805272096e-10,H1a4A4a4
2,-6.496301995012752,3.362971282420631e-10,A1a1A3a3
543,-6.346543099502903,3.756985261395666e-10,H1b3A4b4
383,-6.367539923269736,3.794751904205994e-10,A2b4H2b4
237,6.344181382998148,3.973533267420893e-10,A2a2H2b2
