,T-Stat,p-value,x
54,-1.1725523333656835,0.24144104062879226,A1a3A3b3
171,1.1629715379756147,0.2454708911621051,A1b4A3a4
330,-1.162380947395777,0.245497415129405,A2b2H2a3
529,1.160573049234865,0.24694058947064806,H1b3A3a2
17,1.1562749449701075,0.2485437077273336,A1a1H2a2
339,-1.1525161737371565,0.24955311763833743,A2b3A3a4
549,1.1442822717550576,0.2528363082435968,H1b3H2b2
533,-1.127851543189615,0.26034060053414637,H1b3A3b2
350,1.1235801026436458,0.2616522859518634,A2b3A4b3
521,-1.1218682901348485,0.26238531393124526,H1b2H2a2
110,-1.1053477337206308,0.2696722964006143,A1b1A4b3
104,-1.1024337525017742,0.2708343057378121,A1b1A4a1
34,-1.087151524735028,0.2773653616239935,A1a2A4a3
56,-1.0855953707207158,0.2785048259598568,A1a3A4a1
326,1.078945832181293,0.28104731657574383,A2b2A4b3
315,-1.0731688304808393,0.28362825048887413,A2b2A3a4
299,1.0649256172792445,0.2874994250023958,A2b1A4a4
186,1.0243435854928982,0.3061832965287756,A1b4H2a3
200,-1.0055413425964448,0.3151888946225325,A2a1A4a1
479,0.9939297697604003,0.3204296080118524,H1a4H2b4
206,-0.9596161801550854,0.33789529966774134,A2a1A4b3
132,0.9566627000823387,0.3394563668217514,A1b2A4b1
234,-0.9540424887540159,0.3403784414805514,A2a2H2a3
266,0.937722818662312,0.3487801102927963,A2a4A3a3
478,0.8810359875184302,0.3785227228209985,H1a4H2b3
508,0.8715074132590238,0.3844542262994637,H1b2A3b1
371,-0.8593642380488035,0.3905017663305028,A2b4A4a4
147,0.8551502183773211,0.3928534266586713,A1b3A3a4
219,-0.854878974648476,0.39293577994953655,A2a2A3a4
53,0.8382264872498638,0.40272358981081513,A1a3A3b2
374,0.8372379491466324,0.40281103023608855,A2b4A4b3
102,-0.8367124736137891,0.40321508220261826,A1b1A3b3
250,-0.8203271820386925,0.4123930850514299,A2a3A4a3
180,0.8112470554245247,0.4178344880910716,A1b4A4b1
226,0.801063884284128,0.42342467010066775,A2a2A4a3
32,-0.7893920242898274,0.4304604659308229,A1a2A4a1
300,0.7790711479623574,0.43644833339092226,A2b1A4b1
80,-0.7715396998002828,0.4409933280162922,A1a4A4a1
86,-0.7606552322512568,0.4472187034324999,A1a4A4b3
291,0.7602014182277482,0.44758152727056166,A2b1A3a4
279,0.7378579943089597,0.46089985825260193,A2a4A4b4
156,0.7315489008352296,0.4649898123242726,A1b3A4b1
162,0.7188331603292017,0.4725282903052582,A1b3H2a3
444,-0.715104604500137,0.47508905323816586,H1a3A4b1
38,-0.6946439256652011,0.48751460798327895,A1a2A4b3
248,-0.678981912922223,0.49765636835938754,A2a3A4a1
306,0.6774221781555517,0.49851313786558016,A2b1H2a3
198,-0.6700794083847335,0.5032006981773156,A2a1A3b3
1,-0.6695513993182576,0.5036127011732521,A1a1A3a2
571,-0.6670904106066082,0.5048570793814406,H1b4H2a4
375,-0.5807477236319019,0.5616406198252368,A2b4A4b4
109,-0.5763037847716834,0.564646208115894,A1b1A4b2
197,0.5699409380854812,0.56899395395989,A2a1A3b2
249,0.5658678393972857,0.5717788138051492,A2a3A4a2
346,0.5556892620797498,0.5786415149148822,A2b3A4a3
347,-0.5423403560881236,0.5877902304537679,A2b3A4a4
322,0.5417203977565486,0.5882140503864881,A2b2A4a3
61,-0.5411720703967358,0.5886749848185312,A1a3A4b2
412,-0.5375335733500994,0.591494488132427,H1a2A3b1
275,0.534726390720106,0.5930386297232435,A2a4A4a4
128,0.5336064133880546,0.5939706811623693,A1b2A4a1
151,-0.531719900133765,0.595135377635664,A1b3A3b4
276,0.5314146436616864,0.5955166329051953,A2a4A4b1
0,0.5288157177653705,0.5974837615067947,A1a1A3a1
108,-0.5212661279360308,0.6024499343815505,A1b1A4b1
105,-0.5151719037552942,0.606645580392457,A1b1A4a2
323,-0.5046787672756723,0.6139723374452459,A2b2A4a4
57,-0.44505680854592194,0.6565013082449596,A1a3A4a2
253,0.43376840485632545,0.6646793394020739,A2a3A4b2
60,-0.4289807223197861,0.6682408231757369,A1a3A4b1
574,0.42852177396195207,0.6683540695340162,H1b4H2b3
204,-0.4228181273180985,0.6726525752577034,A2a1A4b1
205,-0.40353990443983856,0.6867201331019159,A2a1A4b2
127,0.37963288936508577,0.7043582787382554,A1b2A3b4
575,0.37417439292147836,0.7083489834552165,H1b4H2b4
81,0.36850540466302706,0.7127081435942142,A1a4A4a2
101,0.3633359091064717,0.7165041984802636,A1b1A3b2
176,0.3631465026736245,0.7167318179305879,A1b4A4a1
254,-0.3550216852229988,0.7227034138484951,A2a3A4b3
228,0.3458156341202393,0.7297162439545166,A2a2A4b1
368,-0.342348495807649,0.7323170091937687,A2b4A4a1
296,0.342218061900406,0.7323734843860701,A2b1A4a1
201,-0.33609027762390326,0.7369446102417202,A2a1A4a2
475,-0.3071085828717181,0.7588061583913474,H1a4H2a4
370,0.2879902456999378,0.7734618105878315,A2b4A4a3
351,-0.2852875799356956,0.7755248000625351,A2b3A4b4
324,0.2814092066347753,0.7785822495529552,A2b2A4b1
348,0.2798618130262493,0.7797704007985659,A2b3A4b1
152,0.26976608305033645,0.7875131337604525,A1b3A4a1
227,-0.266200157793041,0.7901764490051789,A2a2A4a4
362,-0.26472892284803645,0.7913123264937869,A2b4A3a3
327,-0.26289685735691876,0.7927201977397067,A2b2A4b4
344,-0.25709444340954224,0.7972731617838462,A2b3A4a1
320,-0.2531808040670855,0.8002904382996617,A2b2A4a1
33,0.25128263365263465,0.8016938712732861,A1a2A4a2
218,0.23934047796054875,0.8109230540332235,A2a2A3a3
85,0.23691412081383836,0.8128572315446208,A1a4A4b2
437,0.21267137910493425,0.8317555462536954,H1a3A3b2
372,0.20693535795717388,0.8361967266402096,A2b4A4b1
175,-0.19214264242223184,0.8477144643921695,A1b4A3b4
30,-0.19013737777425063,0.8492584258235514,A1a2A3b3
246,0.18303399816664678,0.8548383899125119,A2a3A3b3
36,-0.18138582699813763,0.8561812894156587,A1a2A4b1
224,-0.1805055518951958,0.8568714592376043,A2a2A4a1
84,-0.1555400046506676,0.8765008414063307,A1a4A4b1
282,-0.14447265847118007,0.8851642072658095,A2a4H2a3
295,-0.13915832755406718,0.8893917822592963,A2b1A3b4
37,0.13837174351390874,0.8900013211989841,A1a2A4b2
78,-0.11398740392820744,0.9092969672242525,A1a4A3b3
252,-0.08026611409288456,0.9360782527728467,A2a3A4b1
504,-0.07874365739126724,0.9373104966267758,H1b2A3a1
272,0.033776767170406084,0.9730767930862728,A2a4A4a1
231,-0.02433583674215177,0.9805928777336669,A2a2A4b4
267,-0.01466462194735767,0.9883040131165992,A2a4A3a4
314,0.009559651127182597,0.992375691169524,A2b2A3a3
338,0.0011555329550836705,0.9990784055678981,A2b3A3a3
