,A,B,T-Stat,p-value
107,A1b3,H2a4,-4.547211198584566,6.742817544180416e-06
108,A1b3,H2b1,13.054721067407149,1.541149813211264e-29
109,A1b3,H2b2,7.280857918391981,8.741915253671187e-13
110,A1b3,H2b3,-2.7837990169299247,0.005505868586764078
111,A1b3,H2b4,-3.5517981317609832,0.00041719288548461146
112,A1b4,H1a1,30.954902865077027,9.006659714959608e-88
113,A1b4,H1a2,20.979547937019447,2.474515590895947e-72
114,A1b4,H1a3,6.0493841405412105,2.8682159985675252e-09
115,A1b4,H1a4,-3.882298120005451,0.0001205163995264463
116,A1b4,H1b1,24.707910907871145,4.317370178959217e-67
117,A1b4,H1b2,10.32272958617353,6.417973664002464e-23
118,A1b4,H1b3,7.773104499899385,3.2930609990804945e-14
119,A1b4,H1b4,-3.027749724134412,0.0025710095602161816
120,A1b4,H2a1,13.87783745309128,4.5430784962656924e-35
121,A1b4,H2a2,13.196568268424521,3.900169828708986e-35
122,A1b4,H2a3,1.0243435854928982,0.3061832965287756
123,A1b4,H2a4,-4.056151375302271,5.916582654244716e-05
124,A1b4,H2b1,13.114214506180312,8.70704477844672e-30
125,A1b4,H2b2,7.402014952032396,3.9456959181179316e-13
126,A1b4,H2b3,-2.4378146220769468,0.01503853785639314
127,A1b4,H2b4,-3.0915629036222865,0.0021212956110061103
128,A2a1,H1a1,22.495705754846245,1.2515103979502852e-74
129,A2a1,H1a2,10.038411683099831,2.6076556474273924e-21
130,A2a1,H1a3,0.5454593016490585,0.5857965015611275
131,A2a1,H1a4,-4.747724956205414,3.1255857078440197e-06
132,A2a1,H1b1,18.612447633196382,7.390622599518446e-56
133,A2a1,H1b2,5.0881211308454874,4.970136979498635e-07
134,A2a1,H1b3,1.8433676842858355,0.06605830881816717
135,A2a1,H1b4,-4.362421531445757,1.6738864871574776e-05
136,A2a1,H2a1,9.4904110432477,8.046530474789866e-20
137,A2a1,H2a2,4.992128238318244,9.11707920310508e-07
138,A2a1,H2a3,-2.1761824703186097,0.030242660551407178
139,A2a1,H2a4,-4.848723972691741,1.9410546186032012e-06
140,A2a1,H2b1,10.801257014193471,2.5818853298984282e-23
141,A2a1,H2b2,2.441954275741169,0.014962264677373029
142,A2a1,H2b3,-4.0330617177830295,6.611147030551653e-05
143,A2a1,H2b4,-4.348120353071155,1.848994176459415e-05
144,A2a2,H1a1,30.696353053244405,4.418882042467109e-84
145,A2a2,H1a2,20.7465475383563,9.317230370090679e-73
146,A2a2,H1a3,4.610690598100455,4.750428389522817e-06
147,A2a2,H1a4,-6.568616247377065,1.0688582360419632e-10
148,A2a2,H1b1,24.302855877219468,2.82141926908073e-64
149,A2a2,H1b2,9.484926357760896,8.965786447956578e-20
150,A2a2,H1b3,6.575610763718547,8.77891589080819e-11
151,A2a2,H1b4,-5.167559357903623,2.983934398186143e-07
152,A2a2,H2a1,13.277356624257216,1.9922234629679194e-32
153,A2a2,H2a2,12.434165800138736,1.5887124662173217e-32
154,A2a2,H2a3,-0.9540424887540159,0.3403784414805514
155,A2a2,H2a4,-6.705226623880069,4.308998213311406e-11
156,A2a2,H2b1,12.69013168660096,3.032044745095558e-28
157,A2a2,H2b2,6.344181382998148,3.973533267420893e-10
158,A2a2,H2b3,-4.371224281376288,1.3879356003661648e-05
159,A2a2,H2b4,-5.643819735839178,2.480205064195269e-08
160,A2a3,H1a1,30.300719347512526,9.22845075642797e-81
161,A2a3,H1a2,20.215494860211802,5.943036573268862e-69
162,A2a3,H1a3,2.9755193874864383,0.003014944379251114
163,A2a3,H1a4,-9.413505691320887,6.359663120900955e-20
164,A2a3,H1b1,23.831909278735715,9.351824857466984e-62
165,A2a3,H1b2,8.601883662014139,1.1333227464234113e-16
166,A2a3,H1b3,5.2263533456623765,2.202595619250015e-07
167,A2a3,H1b4,-7.323921843436164,5.54944957833276e-13
168,A2a3,H2a1,12.661847642584153,6.719859647352333e-30
