,A,B,T-Stat,p-value
100,A1b1,A3b1,2.633452702133069,0.009011770510960419
101,A1b1,A3b2,0.3633359091064717,0.7165041984802636
102,A1b1,A3b3,-0.8367124736137891,0.40321508220261826
103,A1b1,A3b4,-2.8058387041586177,0.005277041976481214
104,A1b1,A4a1,-1.1024337525017742,0.2708343057378121
105,A1b1,A4a2,-0.5151719037552942,0.606645580392457
106,A1b1,A4a3,-1.3217055745692328,0.186969498482544
107,A1b1,A4a4,-1.902612383114282,0.05782824385544106
108,A1b1,A4b1,-0.5212661279360308,0.6024499343815505
109,A1b1,A4b2,-0.5763037847716834,0.564646208115894
110,A1b1,A4b3,-1.1053477337206308,0.2696722964006143
111,A1b1,A4b4,-1.7687418285008532,0.07768552292478187
112,A1b1,H2a1,8.92965111538232,5.808456731826746e-18
113,A1b1,H2a2,4.374730476416834,1.5350476215709208e-05
114,A1b1,H2a3,-2.2201333001526944,0.0270039809619397
115,A1b1,H2a4,-4.660914242769119,4.4227552606997815e-06
116,A1b1,H2b1,10.470617028699426,2.2249861299833183e-22
117,A1b1,H2b2,2.067457275193233,0.039182115104446746
118,A1b1,H2b3,-3.937897248094269,9.572468074484027e-05
119,A1b1,H2b4,-4.202999056443292,3.31973758304642e-05
120,A1b2,A3a1,2.823964302888729,0.005223852496189847
121,A1b2,A3a2,5.24397646734965,3.243873825471573e-07
122,A1b2,A3a3,2.2093173104869086,0.027505198516694748
123,A1b2,A3a4,1.6614604788437692,0.09718886318464219
124,A1b2,A3b1,3.7862275772915326,0.00020195795716556128
125,A1b2,A3b2,3.6356280622307433,0.0003255983864717546
126,A1b2,A3b3,3.5632633507457867,0.00039399916052721855
127,A1b2,A3b4,0.37963288936508577,0.7043582787382554
128,A1b2,A4a1,0.5336064133880546,0.5939706811623693
129,A1b2,A4a2,3.2482675403691594,0.0012318886296326958
130,A1b2,A4a3,2.7461458072663767,0.0062063139925986124
131,A1b2,A4a4,2.01524216399314,0.04434157319024851
132,A1b2,A4b1,0.9566627000823387,0.3394563668217514
133,A1b2,A4b2,3.0510297288994113,0.0023933818355410695
134,A1b2,A4b3,3.390453295274928,0.0007440792450384209
135,A1b2,A4b4,2.125687645846535,0.03393528684393129
136,A1b2,H2a1,13.950875120970231,1.0547249595840777e-35
137,A1b2,H2a2,13.016741843265619,6.14324358194844e-35
138,A1b2,H2a3,1.5233984201527773,0.12818507948562874
139,A1b2,H2a4,-3.1896770298071693,0.0015060134862309436
140,A1b2,H2b1,13.208454036184323,3.1139915534687905e-30
141,A1b2,H2b2,7.561407818828962,1.1301290125619445e-13
142,A1b2,H2b3,-1.8211701608897968,0.06896500671497802
143,A1b2,H2b4,-2.2887810982112287,0.022477245546419646
144,A1b3,A3a1,2.674735837701029,0.008105607792300424
145,A1b3,A3a2,4.931480430994332,1.5134259791900974e-06
146,A1b3,A3a3,1.568966762606364,0.11719135694085345
147,A1b3,A3a4,0.8551502183773211,0.3928534266586713
148,A1b3,A3b1,3.639949294493026,0.00034776500851297276
149,A1b3,A3b2,3.248068055753916,0.0013053675041275632
150,A1b3,A3b3,3.0165736863857395,0.002668763645860265
151,A1b3,A3b4,-0.531719900133765,0.595135377635664
152,A1b3,A4a1,0.26976608305033645,0.7875131337604525
153,A1b3,A4a2,2.7631659506799475,0.005938639489297794
154,A1b3,A4a3,2.1350262697822133,0.03318876178455431
155,A1b3,A4a4,1.2872120531212587,0.1985688200618785
156,A1b3,A4b1,0.7315489008352296,0.4649898123242726
157,A1b3,A4b2,2.5685151705481464,0.010514351723711516
158,A1b3,A4b3,2.802484705429202,0.005248516879537522
159,A1b3,A4b4,1.4358357701535942,0.15160697465555867
160,A1b3,H2a1,13.814702560074599,1.0163219431245175e-34
161,A1b3,H2a2,13.22428044817913,8.554727940947023e-36
162,A1b3,H2a3,0.7188331603292017,0.4725282903052582
163,A1b3,H2a4,-4.547211198584566,6.742817544180416e-06
164,A1b3,H2b1,13.054721067407149,1.541149813211264e-29
165,A1b3,H2b2,7.280857918391981,8.741915253671187e-13
