Test,User ID,count,mean,std,min,25%,50%,75%,max
A1a4,514.0,56.0,-41.42473214285714,45.70556189249582,-163.003,-60.3455,-46.313500000000005,-27.92675,144.858
A1a4,521.0,55.0,-3.7414909090909103,34.492890881537555,-84.33,-19.118000000000002,-3.202,7.573,159.47899999999996
A1a4,591.0,57.0,-14.974543859649122,44.7173457384868,-119.777,-35.699,-15.087,0.9109999999999999,132.093
A1a4,729.0,56.0,-10.01075,49.270103777682834,-158.685,-24.37525,-8.884,6.5889999999999995,123.488
A1a4,932.0,56.0,-38.77335714285714,43.30902577331619,-135.895,-63.48949999999999,-38.8085,-18.922250000000002,108.28
A1b1,379.0,22.0,214.57127272727274,273.99473833307053,-169.417,-64.36225,389.716,451.08375,557.114
A1b1,390.0,21.0,-87.71200000000002,42.1549360692197,-161.763,-109.99,-94.874,-57.416000000000004,17.378
A1b1,399.0,21.0,54.05119047619049,90.61398028925727,-65.865,9.092,36.858000000000004,64.227,353.07099999999997
A1b1,486.0,21.0,-153.38219047619046,91.60816702981184,-249.958,-206.929,-163.91,-131.888,189.60299999999998
A1b1,510.0,21.0,-20.986904761904764,60.470041685039995,-157.795,-49.352,-30.311,12.9,147.50799999999995
A1b1,514.0,22.0,-141.59095454545457,43.26431545025055,-210.65099999999998,-171.57099999999997,-143.94,-119.50475,-25.766
A1b1,521.0,22.0,-77.0849090909091,94.24849284327807,-360.64,-102.6235,-76.42600000000002,-47.59825000000001,197.037
A1b1,591.0,21.0,-14.043999999999999,29.85477016156715,-89.259,-28.91,-9.94,7.74,32.554
A1b1,729.0,21.0,-7.799761904761903,103.44985669004319,-96.34200000000001,-58.345,-24.141,11.823,405.517
A1b1,932.0,20.0,-93.29594999999999,121.67488600731092,-235.521,-152.75024999999997,-100.69149999999999,-72.41175000000001,365.48199999999997
A1b2,379.0,19.0,-4.770210526315789,55.49089922338512,-62.935,-31.7945,-17.892,9.059999999999999,195.865
A1b2,390.0,21.0,-22.604857142857142,53.16448276461054,-116.899,-45.43,-24.84800000000001,-6.135,134.68
A1b2,399.0,21.0,9.181761904761904,40.103934961428365,-63.01300000000001,-12.341,5.7170000000000005,25.064,121.947
