,Unnamed: 0,Asynchrony,IOI,Max,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Tap Onset,Test,True Onset,User ID
1583,1583,-689.7560000000001,0 days 00:00:00.650158000,05/05/18 04:09 PM,05/05/18 04:09 PM,,34.829,-51.232,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1584,1584,-701.39,0 days 00:00:00.673379000,05/05/18 04:09 PM,05/05/18 04:09 PM,,-87.03800000000001,-16.403,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1585,1585,-689.7819999999999,0 days 00:00:00.673379000,05/05/18 04:09 PM,05/05/18 04:09 PM,,-14.0,-103.441,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1586,1586,-776.82,0 days 00:00:00.673378000,05/05/18 04:09 PM,05/05/18 04:09 PM,,5.832000000000008,-117.441,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1587,1587,-790.819,0 days 00:00:00.650159000,05/05/18 04:09 PM,05/05/18 04:09 PM,,70.76599999999999,-111.609,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1588,1588,-761.768,0 days 00:00:00.673379000,05/05/18 04:09 PM,05/05/18 04:09 PM,,14.761000000000006,-40.843,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1589,1589,-26.081999999999997,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-15.261000000000006,-26.081999999999997,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1590,1590,-41.343,0 days 00:00:00.441180000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-31.933999999999997,-41.343,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1591,1591,-73.277,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,1.0609999999999928,-73.277,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1592,1592,-72.21600000000001,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,9.12700000000001,-72.21600000000001,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1593,1593,-63.089,0 days 00:00:00.464399000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-9.537999999999997,-63.089,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1594,1594,-72.627,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-5.3940000000000055,-72.627,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1595,1595,-78.021,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,0.20700000000000784,-78.021,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1596,1596,-77.814,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,26.438999999999993,-77.814,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1597,1597,-51.375,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-8.686000000000007,-51.375,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1598,1598,-60.06100000000001,0 days 00:00:00.441180000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-46.772999999999996,-60.06100000000001,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1599,1599,-106.834,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,72.927,-106.834,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1600,1600,-33.907,0 days 00:00:00.464399000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-28.803000000000004,-33.907,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1601,1601,-62.71,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-4.9709999999999965,-62.71,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1602,1602,-67.681,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,16.333,-67.681,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1603,1603,-51.348,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-14.928000000000011,-51.348,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1604,1604,-66.27600000000001,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,8.893000000000008,-66.27600000000001,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1605,1605,-57.383,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,6.0460000000000065,-57.383,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1606,1606,-51.336999999999996,0 days 00:00:00.441180000,05/05/18 04:13 PM,05/05/18 04:13 PM,,61.087999999999994,-51.336999999999996,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1607,1607,9.751,0 days 00:00:00.464399000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-99.234,9.751,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1608,1608,-89.48299999999999,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,25.69099999999999,-89.48299999999999,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
