Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
-36.091,31:27.9,H1a3,31:27.9,127,447.83,31:28.1,31:27.7,31:27.9,-36.091,-43.5865,41.22429539,-43.5865,41.22429539,0,2.658
-33.433,31:28.3,H1a3,31:28.3,127,447.75,31:28.6,31:28.1,31:28.3,-33.433,-43.5865,41.22429539,-43.5865,41.22429539,0,2.533
-30.9,31:28.8,H1a3,31:28.8,127,431.908,31:29.0,31:28.6,31:28.8,-30.9,-43.5865,41.22429539,-43.5865,41.22429539,0,14.24
-16.66,31:29.2,H1a3,31:29.2,127,447.879,31:29.4,31:29.0,31:29.2,-16.66,-43.5865,41.22429539,-43.5865,41.22429539,0,-30.192
-46.852,31:29.6,H1a3,31:29.7,127,447.74,31:29.9,31:29.4,31:29.6,-46.852,-43.5865,41.22429539,-43.5865,41.22429539,0,-21.894
-68.746,31:30.1,H1a3,31:30.1,127,447.844,31:30.3,31:29.9,31:30.1,-68.746,-43.5865,41.22429539,-43.5865,41.22429539,0,-1.569
-70.315,31:30.5,H1a3,31:30.6,127,431.851,31:30.8,31:30.3,31:30.5,-70.315,-43.5865,41.22429539,-43.5865,41.22429539,0,22.537
-47.778,31:31.0,H1a3,31:31.0,127,447.86,31:31.2,31:30.8,31:31.0,-47.778,-43.5865,41.22429539,-43.5865,41.22429539,0,14.837
-32.941,31:31.4,H1a3,31:31.4,127,447.762,31:31.7,31:31.2,31:31.4,-32.941,-43.5865,41.22429539,-43.5865,41.22429539,0,-46.541
-79.482,31:31.8,H1a3,31:31.9,127,447.75,31:32.1,31:31.7,31:31.8,-79.482,-43.5865,41.22429539,-43.5865,41.22429539,0,14.876
-64.606,31:32.3,H1a3,31:32.3,127,431.912,31:32.6,31:32.1,31:32.3,-64.606,-43.5865,41.22429539,-43.5865,41.22429539,0,30.589
-34.017,31:32.7,H1a3,31:32.8,127,447.886,31:33.0,31:32.6,31:32.7,-34.017,-43.5865,41.22429539,-43.5865,41.22429539,0,10.83
-23.187,31:33.2,H1a3,31:33.2,127,447.663,31:33.4,31:33.0,31:33.2,-23.187,-43.5865,41.22429539,-43.5865,41.22429539,0,19.029
-4.158,31:33.7,H1a3,31:33.7,127,447.83,31:33.9,31:33.4,31:33.7,-4.158,-43.5865,41.22429539,-43.5865,41.22429539,0,-46.613
-50.771,31:34.1,H1a3,31:34.1,127,431.812,31:34.3,31:33.9,31:34.1,-50.771,-43.5865,41.22429539,-43.5865,41.22429539,0,2.176
-48.595,31:34.5,H1a3,31:34.5,127,447.868,31:34.8,31:34.3,31:34.5,-48.595,-43.5865,41.22429539,-43.5865,41.22429539,0,-46.647
-95.242,31:34.9,H1a3,31:35.0,127,447.773,31:35.2,31:34.8,31:34.9,-95.242,-43.5865,41.22429539,-43.5865,41.22429539,0,18.974
-76.268,31:35.4,H1a3,31:35.4,127,447.881,31:35.7,31:35.2,31:35.4,-76.268,-43.5865,41.22429539,-43.5865,41.22429539,0,22.912
-53.356,31:35.8,H1a3,31:35.9,127,431.847,31:36.1,31:35.7,31:35.8,-53.356,-43.5865,41.22429539,-43.5865,41.22429539,0,-1.812
-55.168,31:36.3,H1a3,31:36.3,127,447.827,31:36.5,31:36.1,31:36.3,-55.168,-43.5865,41.22429539,-43.5865,41.22429539,0,
