Asynchrony,Group,IOI,,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,User ID
-107.211,Professional,447.803,Flute,31:26.3,-43.5865,31:25.9,0,27.179,-107.211,-43.5865,41.22429539,31:26.0,41.22429539,31:26.0,H1a3,31:26.1,824
-80.032,Professional,447.776,Flute,31:26.8,-43.5865,31:26.3,0,43.456,-80.032,-43.5865,41.22429539,31:26.5,41.22429539,31:26.5,H1a3,31:26.6,824
-36.576,Professional,431.811,Flute,31:27.2,-43.5865,31:26.8,0,18.558,-36.576,-43.5865,41.22429539,31:27.0,41.22429539,31:27.0,H1a3,31:27.0,824
-18.018,Professional,447.866,Flute,31:27.7,-43.5865,31:27.2,0,-18.073,-18.018,-43.5865,41.22429539,31:27.4,41.22429539,31:27.4,H1a3,31:27.4,824
-36.091,Professional,447.83,Flute,31:28.1,-43.5865,31:27.7,0,2.658,-36.091,-43.5865,41.22429539,31:27.9,41.22429539,31:27.9,H1a3,31:27.9,824
-33.433,Professional,447.75,Flute,31:28.6,-43.5865,31:28.1,0,2.533,-33.433,-43.5865,41.22429539,31:28.3,41.22429539,31:28.3,H1a3,31:28.3,824
-30.9,Professional,431.908,Flute,31:29.0,-43.5865,31:28.6,0,14.24,-30.9,-43.5865,41.22429539,31:28.8,41.22429539,31:28.8,H1a3,31:28.8,824
-16.66,Professional,447.879,Flute,31:29.4,-43.5865,31:29.0,0,-30.192,-16.66,-43.5865,41.22429539,31:29.2,41.22429539,31:29.2,H1a3,31:29.2,824
-46.852,Professional,447.74,Flute,31:29.9,-43.5865,31:29.4,0,-21.894,-46.852,-43.5865,41.22429539,31:29.6,41.22429539,31:29.6,H1a3,31:29.7,824
-68.746,Professional,447.844,Flute,31:30.3,-43.5865,31:29.9,0,-1.569,-68.746,-43.5865,41.22429539,31:30.1,41.22429539,31:30.1,H1a3,31:30.1,824
-70.315,Professional,431.851,Flute,31:30.8,-43.5865,31:30.3,0,22.537,-70.315,-43.5865,41.22429539,31:30.5,41.22429539,31:30.5,H1a3,31:30.6,824
-47.778,Professional,447.86,Flute,31:31.2,-43.5865,31:30.8,0,14.837,-47.778,-43.5865,41.22429539,31:31.0,41.22429539,31:31.0,H1a3,31:31.0,824
-32.941,Professional,447.762,Flute,31:31.7,-43.5865,31:31.2,0,-46.541,-32.941,-43.5865,41.22429539,31:31.4,41.22429539,31:31.4,H1a3,31:31.4,824
-79.482,Professional,447.75,Flute,31:32.1,-43.5865,31:31.7,0,14.876,-79.482,-43.5865,41.22429539,31:31.8,41.22429539,31:31.8,H1a3,31:31.9,824
-64.606,Professional,431.912,Flute,31:32.6,-43.5865,31:32.1,0,30.589,-64.606,-43.5865,41.22429539,31:32.3,41.22429539,31:32.3,H1a3,31:32.3,824
-34.017,Professional,447.886,Flute,31:33.0,-43.5865,31:32.6,0,10.83,-34.017,-43.5865,41.22429539,31:32.7,41.22429539,31:32.7,H1a3,31:32.8,824
-23.187,Professional,447.663,Flute,31:33.4,-43.5865,31:33.0,0,19.029,-23.187,-43.5865,41.22429539,31:33.2,41.22429539,31:33.2,H1a3,31:33.2,824
-4.158,Professional,447.83,Flute,31:33.9,-43.5865,31:33.4,0,-46.613,-4.158,-43.5865,41.22429539,31:33.7,41.22429539,31:33.7,H1a3,31:33.7,824
-50.771,Professional,431.812,Flute,31:34.3,-43.5865,31:33.9,0,2.176,-50.771,-43.5865,41.22429539,31:34.1,41.22429539,31:34.1,H1a3,31:34.1,824
-48.595,Professional,447.868,Flute,31:34.8,-43.5865,31:34.3,0,-46.647,-48.595,-43.5865,41.22429539,31:34.5,41.22429539,31:34.5,H1a3,31:34.5,824
-95.242,Professional,447.773,Flute,31:35.2,-43.5865,31:34.8,0,18.974,-95.242,-43.5865,41.22429539,31:34.9,41.22429539,31:34.9,H1a3,31:35.0,824
-76.268,Professional,447.881,Flute,31:35.7,-43.5865,31:35.2,0,22.912,-76.268,-43.5865,41.22429539,31:35.4,41.22429539,31:35.4,H1a3,31:35.4,824
-53.356,Professional,431.847,Flute,31:36.1,-43.5865,31:35.7,0,-1.812,-53.356,-43.5865,41.22429539,31:35.8,41.22429539,31:35.8,H1a3,31:35.9,824
-55.168,Professional,447.827,Flute,31:36.5,-43.5865,31:36.1,0,,-55.168,-43.5865,41.22429539,31:36.3,41.22429539,31:36.3,H1a3,31:36.3,824
131.72,Professional,335.824,Flute,34:50.9,-5.755111111,34:50.6,0,-69.726,131.72,-5.755111111,35.47615625,34:50.9,35.47615625,34:50.9,H1a4,34:50.8,824
61.994,Professional,335.684,Flute,34:51.3,-5.755111111,34:50.9,0,-48.848,61.994,-5.755111111,35.47615625,34:51.2,35.47615625,34:51.2,H1a4,34:51.1,824
