,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,Group,Instrument
39,27,653.657,22:30.7,A1a2,22:30.0,552,0 days 00:00:00.650159000,22:30.4,22:29.7,22:30.0,-4.942,34.26864286,59.57794047,709.28925,73.60569218,0,8.44,Professional,Percussion
40,28,914.604,22:31.6,A1a2,22:30.7,552,0 days 00:00:00.673379000,22:31.0,22:30.4,22:30.7,3.498,34.26864286,59.57794047,709.28925,73.60569218,0,,Professional,Percussion
41,1,443.258,26:40.5,A1a3,26:40.0,552,0 days 00:00:00.441179000,26:40.3,26:39.8,26:40.0,-35.871,6.185627907,27.56015348,455.4503953,37.7183559,0,37.95,Professional,Percussion
42,2,448.241,26:40.9,A1a3,26:40.5,552,0 days 00:00:00.441180000,26:40.7,26:40.3,26:40.5,2.079,6.185627907,27.56015348,455.4503953,37.7183559,0,4.982,Professional,Percussion
43,3,432.805,26:41.4,A1a3,26:40.9,552,0 days 00:00:00.441179000,26:41.1,26:40.7,26:40.9,7.061,6.185627907,27.56015348,455.4503953,37.7183559,0,-15.435,Professional,Percussion
44,4,468.487,26:41.8,A1a3,26:41.4,552,0 days 00:00:00.441179000,26:41.6,26:41.1,26:41.4,-8.374,6.185627907,27.56015348,455.4503953,37.7183559,0,35.682,Professional,Percussion
45,5,441.935,26:42.2,A1a3,26:41.8,552,0 days 00:00:00.464399000,26:42.0,26:41.6,26:41.8,27.308,6.185627907,27.56015348,455.4503953,37.7183559,0,-49.772,Professional,Percussion
46,6,438.86,26:42.7,A1a3,26:42.3,552,0 days 00:00:00.441179000,26:42.5,26:42.0,26:42.2,-22.464,6.185627907,27.56015348,455.4503953,37.7183559,0,20.145,Professional,Percussion
47,7,444.572,26:43.2,A1a3,26:42.7,552,0 days 00:00:00.441179000,26:42.9,26:42.5,26:42.7,-2.319,6.185627907,27.56015348,455.4503953,37.7183559,0,5.712,Professional,Percussion
48,8,438.52,26:43.6,A1a3,26:43.2,552,0 days 00:00:00.441179000,26:43.4,26:42.9,26:43.2,3.393,6.185627907,27.56015348,455.4503953,37.7183559,0,-6.052,Professional,Percussion
